;; locuteur dureedapprentissageGlobal nbdesessionsdapprentissageGlobal dureedapprentissageRepere nbdesessionsdapprentissageRepere dureedapprentissageAutre nbdesessionsdapprentissageAutre
Daniel_FIDELIN 395.65 3 0 0 3 395.65
Marine_LE_PEN 691.29 8 4 404.02 4 287.27
Patrick_BLOCHE 878.51 3 0 0 3 878.51
Axel_PONIATOWSKI 674.13 10 0 0 10 674.13
Sandra_BOULANGER 667.29 16 1 36.6 15 630.69
Richard_GERE 505.74 3 0 0 3 505.74
Clement_MERIC 245.97 1 0 0 1 245.97
Nicole_NOTAT 670.89 8 0 0 8 670.89
Olivier_TRUCHOT 704.87 8 8 704.87 0 0
Fadela_AMARA 719.12 7 0 0 7 719.12
Alexis_BREZET 679.84 9 9 679.84 0 0
Benoit_HARTMANN 183.3 1 1 183.3 0 0
Caroline_MECARY 268.72 1 1 268.72 0 0
Gilles_DE_ROBIEN 709.65 8 0 0 8 709.65
Serge_LAMA 130.42 2 0 0 2 130.42
Cyril_HANOUNA 659.45 6 0 0 6 659.45
Myriam_ENCAOUA 397.32 3 3 397.32 0 0
Lionnel_LUCA 691.06 5 5 691.06 0 0
Fleur_PELLERIN 666.63 9 0 0 9 666.63
Luc_FERRY 679.31 9 0 0 9 679.31
Anne-Marie_IDRAC 723.17 3 0 0 3 723.17
Franz-Olivier_GIESBERT 671.99 10 0 0 10 671.99
Alain_SUGUENOT 315.86 2 0 0 2 315.86
Pierrick_TAISNE 213.47 6 0 0 6 213.47
Jamel_DEBBOUZE 727.06 10 0 0 10 727.06
Bernard_THIBAULT 690.87 1 0 0 1 690.87
Francois_OZON 129.13 6 0 0 6 129.13
Serge_MOATI 695.44 3 0 0 3 695.44
Marie_DUQUESNE 156.56 2 2 156.56 0 0
Emmanuel_PIERRAT 2747.91 7 0 0 7 2747.91
Corinne_LEPAGE 730.55 8 1 197.41 7 533.14
Bernard_LAPORTE 694.62 8 1 261.97 7 432.65
Yvon_SCORNET 136.89 3 0 0 3 136.89
Yoann_GOURCUFF 690.29 6 0 0 6 690.29
Pascal_SCHMITT 201.06 1 1 201.06 0 0
Bruno_LE_ROUX 3568.9 10 0 0 10 3568.9
Jean-Pierre_CHEVENEMENT 709.3 10 0 0 10 709.3
Hassan_NASRALLAH 297.94 10 0 0 10 297.94
Kamal_ABDOURAHIM 692.6 18 0 0 18 692.6
Aurelie_MARCIREAU 683.54 15 0 0 15 683.54
Herve_MARITON 132.96 1 1 132.96 0 0
Cecile_OLLIVIER 216.46 3 3 216.46 0 0
Maurice_SZAFRAN 710.33 8 0 0 8 710.33
Gael_MONFILS 677.34 6 0 0 6 677.34
Sebastien_COUASNON 458.51 4 0 0 4 458.51
Jean-Francois_COPE 685.15 10 4 222.34 6 462.81
Michel_MERCIER 124.91 2 2 124.91 0 0
Malek_BOUTIH 341.45 1 0 0 1 341.45
Bernard_ACCOYER 727.14 9 4 177.7 5 549.44
Laurent_BLANC 718.66 9 0 0 9 718.66
Catherine_LABORDE 718.1 8 0 0 8 718.1
Herve_NOVELLI 687.91 4 4 687.91 0 0
Didier_PIARD 287.16 1 1 287.16 0 0
Eric_NEUHOFF 729.41 4 1 482.48 3 246.93
Laurent_FABIUS 669.43 10 1 67.68 9 601.75
Frederic_BEIGBEDER 671.78 10 0 0 10 671.78
Florian_PHILIPPOT 2360.78 8 0 0 8 2360.78
Jean-Yves_LE_BOUILLONNEC 192.26 1 1 192.26 0 0
Laure_MANAUDOU 198.95 2 0 0 2 198.95
Eric_TOLEDANO 366.91 2 0 0 2 366.91
Edouard_BAER 446.09 4 0 0 4 446.09
Jean_TIBERI 344.57 1 0 0 1 344.57
Isabelle_SAPORTA 410.92 1 1 410.92 0 0
Francoise_LABORDE 680.9 8 0 0 8 680.9
Harlem_DESIR 727.47 9 1 137.11 8 590.36
Boutros_BOUTROS-GHALI 710.92 4 0 0 4 710.92
Adrien_GINDRE 683.65 15 1 46.22 14 637.43
Chantal_JOUANNO 670.61 9 0 0 9 670.61
Benoit_THIEULIN 682.69 5 0 0 5 682.69
Jean-Marie_LE_GUEN 702.49 2 2 702.49 0 0
Eric_FOTTORINO 700.51 11 0 0 11 700.51
Edouard_BALLADUR 713.17 10 0 0 10 713.17
Douglas_MCKEON 130.25 3 0 0 3 130.25
Mathieu_GUIDERE 1933.76 6 0 0 6 1933.76
Dominique_BAUDIS 672.77 10 0 0 10 672.77
Amel_SAADI 668.37 18 0 0 18 668.37
Xavier_MATHIEU 2054.89 5 0 0 5 2054.89
Christine_CLERC 1417.98 3 0 0 3 1417.98
Bruno_RETAILLEAU 719.38 12 0 0 12 719.38
Olivier_FAURE 212.61 1 1 212.61 0 0
Olivier_BESANCENOT 716.42 11 0 0 11 716.42
Jean_RESSEGUIE 481.66 4 4 481.66 0 0
Ingrid_BETANCOURT 681.32 3 0 0 3 681.32
Pierre_CHARON 664.11 4 0 0 4 664.11
Marie-Eve_MALOUINES 1241.29 9 0 0 9 1241.29
Isabelle_PREVOST-DESPREZ 682.72 3 0 0 3 682.72
Laura_FLESSEL 681.86 6 0 0 6 681.86
Sebastien_CHABAL 381.31 1 0 0 1 381.31
Daniele_HEYMANN 553.23 1 1 553.23 0 0
Audrey-Sophie_NACASS 172.83 1 1 172.83 0 0
Eric_STRAUMANN 312.11 3 0 0 3 312.11
Jean_Wilfrid_FORGUES 681.17 16 0 0 16 681.17
Cecile_TRAN-TIEN 667.31 17 0 0 17 667.31
Asma_GUENIFI 632.17 2 0 0 2 632.17
Stephane_GATIGNON 437.46 3 0 0 3 437.46
Alain_COTTA 711.32 6 1 376.93 5 334.39
Gerard_DEPARDIEU 710.66 1 0 0 1 710.66
Florence_MURACCIOLE 706.44 8 8 706.44 0 0
Segolene_ROYAL 709.28 11 1 36.56 10 672.72
Mitt_ROMNEY 1058.11 3 0 0 3 1058.11
Dominique_BUSSEREAU 725.08 2 2 725.08 0 0
Jean-Christophe_FROMANTIN 287.46 1 1 287.46 0 0
Gerard_BAPT 713.67 7 2 363.21 5 350.46
Francois_CHEREQUE 693.78 10 0 0 10 693.78
Didier_DESCHAMPS 611.51 7 0 0 7 611.51
Gersande_DIART 674.19 18 0 0 18 674.19
Betty_LACHGUER 663.29 16 0 0 16 663.29
Jean-Paul_BRUNEAU 265.36 1 1 265.36 0 0
Gilles-Eric_SERALINI 91.11 6 0 0 6 91.11
Patrice_GOURRIER 160.81 1 1 160.81 0 0
Jerome_CHARTIER 683.14 7 1 71.5 6 611.64
Jean-Paul_OLLIVIER 153.96 1 0 0 1 153.96
Yves_CALVI 400.95 2 0 0 2 400.95
Yann_GALUT 475.45 5 0 0 5 475.45
Serge_GODARD 701.19 5 0 0 5 701.19
Jean-Vincent_PLACE 1686.12 4 0 0 4 1686.12
Bernard_CAZEAU 296.1 1 0 0 1 296.1
Francois_MOLINS 105.34 2 0 0 2 105.34
Beth_DITTO 105.89 5 0 0 5 105.89
Catherine_LARA 2510.15 13 0 0 13 2510.15
Bertrand_TAVERNIER 1994.1 9 0 0 9 1994.1
Marcel_RUFO 1233.76 4 0 0 4 1233.76
Thomas_PAULMYER 674.73 17 0 0 17 674.73
Ahmed_JABALLAH 118.18 4 0 0 4 118.18
Jean-Marie_LE_PEN 693 7 0 0 7 693
Jean-Luc_ROMERO 205.51 1 1 205.51 0 0
Jean-Jacques_BOURDIN 636.62 3 1 309.41 2 327.21
Henri_STERDYNIAK 692.25 5 1 144.15 4 548.1
Jean-Francois_AMADIEU 1294.46 5 0 0 5 1294.46
Jean_JOUZEL 712.52 8 1 233.88 7 478.64
Tristan_BERTELOOT 694.44 4 0 0 4 694.44
Benjamin_BIOLAY 716.87 6 0 0 6 716.87
Delphine_WESPISER 678.86 4 0 0 4 678.86
Yves_NICOLIN 729.02 9 0 0 9 729.02
Caroline_BRUNEAU 527.73 6 0 0 6 527.73
Costa_GAVRAS 3778.96 9 0 0 9 3778.96
Jeremie_HARTMANN 171.19 3 3 171.19 0 0
Herve_GATTEGNO 320.34 1 1 320.34 0 0
Pierre_DUKAN 677.07 5 0 0 5 677.07
Jean-Michel_SIX 243.26 1 1 243.26 0 0
Charles_ENDERLIN 663.06 4 0 0 4 663.06
Joseph_OSMAN 719.21 2 1 372.21 1 347
Jacques_PELISSARD 435.77 6 0 0 6 435.77
Fanny_REGNAULT 678.53 18 0 0 18 678.53
Michel_VAUZELLE 708.23 7 2 97.24 5 610.99
Dominique_BLANC 513.35 2 0 0 2 513.35
Yann-Antony_NOGHES 405.27 1 0 0 1 405.27
Caroline_DE_HAAS 688.48 4 0 0 4 688.48
Antoine_POLLEZ 672.7 17 0 0 17 672.7
Virginie_DUVAL 166.19 1 1 166.19 0 0
Edwin_LE_HERON 662.04 2 1 454.42 1 207.62
Patrick_EVENO 245.37 1 1 245.37 0 0
Olivier_DUSSOPT 688.7 7 2 196.48 5 492.22
Melissa_THEURIAU 192.62 2 0 0 2 192.62
Paul_RYAN 154.14 4 0 0 4 154.14
Eric_BESSON 724.38 8 4 447.58 4 276.8
Arlette_LAGUILLER 687.18 8 0 0 8 687.18
Fanny_AGOSTINI 689.98 19 0 0 19 689.98
Yannick_JADOT 945.36 4 0 0 4 945.36
Rene_CAGNAT 320.03 4 0 0 4 320.03
Francois_LENGLET 717.71 7 2 368.86 5 348.85
Pierre_LELLOUCHE 707.48 2 2 707.48 0 0
Jean-Francois_MATTEI 656.53 5 0 0 5 656.53
Sophie_BESSIS 184.31 9 0 0 9 184.31
Alexandre_PARE 342.99 6 0 0 6 342.99
Cecile_DANRE 163 3 3 163 0 0
Tiffanie_OSSWALT 680.24 18 1 32.95 17 647.29
Magali_CHALAIS 172.63 3 3 172.63 0 0
Pierre_MEHAIGNERIE 702.32 5 0 0 5 702.32
Alain-Gerard_SLAMA 425.24 6 0 0 6 425.24
Renaud_MUSELIER 726.08 7 1 71.34 6 654.74
Melanie_VECCHIO 695.93 16 0 0 16 695.93
Floriane_OLIVIER 275.73 6 0 0 6 275.73
Thomas_VOECKLER 63.7 8 0 0 8 63.7
Bernard_ROMAN 1069.63 6 0 0 6 1069.63
Thomas_LEGRAND 347.71 1 1 347.71 0 0
Francois_FILLON 677.31 10 10 677.31 0 0
Georges-Marc_BENAMOU 675.26 7 0 0 7 675.26
Dominique_PAILLE 689.69 2 2 689.69 0 0
Gerard_ROCHE 243.79 1 0 0 1 243.79
Camille_DE_ROCCA-SERRA 5751.99 3 0 0 3 5751.99
Julien_JACQUET 484.93 12 0 0 12 484.93
Arnaud_LAGARDERE 407.37 1 0 0 1 407.37
Alexis_JENNI 391.26 3 1 43.44 2 347.82
Bernard_DEBRE 676.63 5 1 375.85 4 300.78
Hugh_JACKMAN 158.04 3 0 0 3 158.04
Jean-Francois_LAMOUR 717.82 11 0 0 11 717.82
Francois_BAROIN 747.21 7 7 747.21 0 0
Michael_BLOOMBERG 1814.47 9 0 0 9 1814.47
Alain_ROUSSET 673.22 5 0 0 5 673.22
Xavier_BERTRAND 730.33 10 9 654.81 1 75.52
Hugo_LLORIS 235.53 4 0 0 4 235.53
Veronique_FEVRE 670.22 15 3 112.23 12 557.99
Armelle_SEMONT 252.93 5 0 0 5 252.93
Dianne_FEINSTEIN 240.25 2 0 0 2 240.25
Marc_LE_FUR 264.75 4 0 0 4 264.75
Natacha_RIOS 682.94 18 0 0 18 682.94
Patrick_OLLIER 708.22 9 0 0 9 708.22
Sebastien_LOEB 115.38 5 0 0 5 115.38
Louise_EKLAND 530.18 5 2 72.58 3 457.6
Jack_LANG 699.27 11 0 0 11 699.27
William_BOURDON 701.04 1 1 701.04 0 0
Elton_JOHN 207.87 6 0 0 6 207.87
Philippe_PELLETIER 904.73 3 0 0 3 904.73
Jeremy_TROTTIN 671.39 16 0 0 16 671.39
Jean-Pierre_PERNAUT 667.6 2 0 0 2 667.6
Mathieu_COACHE 715.99 6 6 715.99 0 0
Berenice_MARLOHE 476.65 3 0 0 3 476.65
Ruth_ELKRIEF 289.85 2 2 289.85 0 0
Yvan_LACHAUD 689.2 10 3 261.43 7 427.77
Arnaud_MONTEBOURG 723.9 4 4 723.9 0 0
Patrice_CANAYER 1169.7 4 0 0 4 1169.7
Yves_POZZO_DI_BORGO 714.34 6 1 187.44 5 526.9
Jean-Louis_GOMBEAUD 280.44 1 1 280.44 0 0
Alain_CHABAT 676.86 8 0 0 8 676.86
Hugues_LE_BRET 619.97 5 0 0 5 619.97
Gilles_KEPEL 3508.19 6 0 0 6 3508.19
Jerome_SAVARY 883.79 5 0 0 5 883.79
Dominique_STRAUSS-KAHN 688.46 3 0 0 3 688.46
Claire_CHAZAL 646.79 3 0 0 3 646.79
Stephane_LE_FOLL 673.58 10 0 0 10 673.58
Jean_LEONETTI 4594.74 6 0 0 6 4594.74
Hillary_CLINTON 499.16 3 0 0 3 499.16
Laurent_GERRA 686.34 5 0 0 5 686.34
Jean-Jacques_JEGOU 674.38 6 0 0 6 674.38
Rachid_M_BARKI 498.45 3 3 498.45 0 0
Robert_HUE 703.82 7 0 0 7 703.82
Michele_RIVASI 603.13 6 0 0 6 603.13
Bruno_MEGRET 700.19 8 0 0 8 700.19
David_PUJADAS 683.54 5 0 0 5 683.54
Christian_ESTROSI 662.89 9 1 50.42 8 612.47
Jean-Paul_BELMONDO 608.15 4 0 0 4 608.15
Jacques_CHEMINADE 660.8 9 0 0 9 660.8
Damien_GOURLET 366.69 1 1 366.69 0 0
Guy_DELCOURT 329.79 2 2 329.79 0 0
Lucy_VINCENT 337.7 1 1 337.7 0 0
Sandra_GANDOIN 683.64 17 0 0 17 683.64
Philippe_SALVADOR 269.95 4 4 269.95 0 0
Yves_DURAND 450.44 4 1 113.05 3 337.39
Jean_MALLOT 704.36 10 2 158.16 8 546.2
Antoine_GLASER 288.41 1 1 288.41 0 0
Christophe_DELAY 571.32 32 32 571.32 0 0
Laurence_PARISOT 663.85 10 0 0 10 663.85
Maxime_VERNER 177.93 1 1 177.93 0 0
Alou_DIARRA 682.36 9 0 0 9 682.36
Jean-Louis_MALISSE 319.07 1 1 319.07 0 0
Frederic_BARBIER 482.91 5 0 0 5 482.91
Didier_REYNDERS 616.23 5 0 0 5 616.23
Gilbert_COLLARD 716.76 8 0 0 8 716.76
Anita_HAUSSER 373.18 4 4 373.18 0 0
Alain_MARSAUD 593.89 3 0 0 3 593.89
Diane_DESOBEAU 665.83 8 0 0 8 665.83
Ani_BASAR 688.06 18 0 0 18 688.06
Patrick_BERCHE 149.34 1 1 149.34 0 0
Samuel_OLLIVIER 521.93 8 0 0 8 521.93
Francois_CLUZET 664.49 8 0 0 8 664.49
Pierre_MURAT 562.66 1 1 562.66 0 0
Nicolas_DOZE 684 19 0 0 19 684
Joann_SFAR 686.92 1 0 0 1 686.92
Marie-Charlotte_ANTONINI 330.91 5 0 0 5 330.91
Olivier_FERRAND 685.03 3 2 618.9 1 66.13
Jean-Baptiste_PREDALI 374.45 5 5 374.45 0 0
Jean_TODT 168.6 1 1 168.6 0 0
David_CAMERON 244.15 4 0 0 4 244.15
Michel_PIRON 693.11 4 1 226.11 3 467
Marie_LABAT 674.2 19 0 0 19 674.2
Caroline_FOUREST 469.99 1 1 469.99 0 0
Brigitte_BOUCHER 668.8 9 9 668.8 0 0
Christine_LAGARDE 706.63 10 3 235.87 7 470.76
Jean-Marc_LECH 191.98 1 1 191.98 0 0
Florent_GERMAIN 120.07 1 1 120.07 0 0
Olivier_GIROUD 86.45 7 0 0 7 86.45
Erwan_LECOEUR 7585.8 2 0 0 2 7585.8
Rene_DOSIERE 164.55 1 1 164.55 0 0
Alexandre_DE_JUNIAC 523.78 2 0 0 2 523.78
Alain_JUPPE 701.65 9 7 568.27 2 133.38
Xavier_GOUYOU-BEAUCHAMPS 582.54 2 0 0 2 582.54
Francois_REBSAMEN 724.1 10 1 40.97 9 683.13
Patrick_PELLOUX 488.58 1 0 0 1 488.58
Michel_FOURGOUS 669.05 8 0 0 8 669.05
Jean-Pierre_MARIELLE 717.81 7 0 0 7 717.81
Laurent_WAUQUIEZ 718.82 7 2 372.52 5 346.3
Sandra_LARUE 662.73 7 0 0 7 662.73
Thomas_THEVENOUD 359.58 4 0 0 4 359.58
Jean-Louis_SCHILANSKY 688.44 7 1 96.23 6 592.21
Valerie_ROSSO-DEBORD 676.52 5 2 159.4 3 517.12
Robert_BOURGI 699.53 9 1 43.64 8 655.89
Jean-Christophe_CAMBADELIS 670.86 3 3 670.86 0 0
Catherine_GENISSON 716.66 9 1 102.53 8 614.13
Ivan_RIOUFOL 329.02 1 1 329.02 0 0
Aurelien_ROMANO 541.67 9 0 0 9 541.67
Julien_MIGAUD_MULLER 663.31 16 0 0 16 663.31
Jean-Marc_FEDIDA 556.64 5 0 0 5 556.64
Christophe_RUAULTS 723.04 9 9 723.04 0 0
Angela_MERKEL 778.01 3 0 0 3 778.01
Claire_FLEURY 539.14 10 10 539.14 0 0
Bruno_LE_MAIRE 717.91 11 3 179.02 8 538.89
Arlette_CHABOT 710.44 7 0 0 7 710.44
Danny_BOYLE 413.32 4 0 0 4 413.32
Jerome_CAHUZAC 217.57 3 3 217.57 0 0
Henri_VACQUIN 370.18 1 1 370.18 0 0
Jean-Michel_COHEN 136.7 1 1 136.7 0 0
Francois_LAMY 130.27 1 1 130.27 0 0
Aurore_TEBOUL 213.19 3 0 0 3 213.19
Marc-Philippe_DAUBRESSE 6602.72 12 0 0 12 6602.72
Bruno_SOLO 488.19 6 0 0 6 488.19
Luis_FERNANDEZ 190.08 4 0 0 4 190.08
Maxime_COGNY 665.69 18 0 0 18 665.69
Jean-Marie_VANLERENBERGHE 673.66 10 0 0 10 673.66
Clementine_MALIGORNE 680.29 18 0 0 18 680.29
Jean-Jacques_AILLAGON 729.39 9 0 0 9 729.39
Pascale_DE_LA_TOUR_DU_PIN 410.38 24 24 410.38 0 0
Eva_LONGORIA 298.88 3 0 0 3 298.88
Gaetane_MESLIN 323.22 5 5 323.22 0 0
Eric_DEBARBIEUX 3318.8 3 0 0 3 3318.8
Arnaud_VIVIANT 564.77 1 1 564.77 0 0
Franck_RIBERY 237.51 4 0 0 4 237.51
Valerie_TRIERWEILER 552.29 3 0 0 3 552.29
Jean-Francois_ROUBAUD 701.03 7 1 190.76 6 510.27
Kelly_LAFFIN 660.57 17 0 0 17 660.57
Ariane_NICOLAS 668.22 14 0 0 14 668.22
Patrick_KLUGMAN 887.6 3 0 0 3 887.6
Eric_ZEMMOUR 721.14 5 0 0 5 721.14
Emilie_HELMSTEIN 663.3 10 0 0 10 663.3
Nafissatou_DIALLO 96.22 3 0 0 3 96.22
Romain_GUBERT 728.09 9 9 728.09 0 0
Patrick_DEVEDJIAN 713.96 9 0 0 9 713.96
Rolland_COURBIS 690.05 11 1 148.15 10 541.9
Albert_DE_MONACO 715.98 4 0 0 4 715.98
Robert_ROCHEFORT 222.2 1 1 222.2 0 0
Olivier_MOIZAN 665.81 12 0 0 12 665.81
Cecile_BOURGNEUF 194.84 4 0 0 4 194.84
Camille_LAURENS 690.57 1 0 0 1 690.57
Luc_CHATEL 711.06 10 3 245.88 7 465.18
Claude_LELOUCH 278.68 11 0 0 11 278.68
Carl_MEEUS 322.74 2 2 322.74 0 0
Dany_BOON 693.99 8 0 0 8 693.99
Youssou_N_DOUR 96.81 8 0 0 8 96.81
Marie-Noelle_LIENEMANN 668.96 10 0 0 10 668.96
Bernard_EMSELLEM 718.47 2 0 0 2 718.47
Brahim_ASLOUM 1028.06 5 0 0 5 1028.06
Gerard_JUGNOT 568.26 5 0 0 5 568.26
Jean-Jacques_CHABAN-DELMAS 661.1 4 0 0 4 661.1
Michel_HAZANAVICIUS 1521.34 5 0 0 5 1521.34
Nolwenn_LEROY 238.18 5 0 0 5 238.18
Marisol_TOURAINE 672.54 3 3 672.54 0 0
Margaux_DE_FROUVILLE 664.7 18 0 0 18 664.7
Philippe_PLISSON 610.18 3 1 110.5 2 499.68
Adeline_HAZAN 714.56 9 0 0 9 714.56
Jean-Marie_CAVADA 716.62 7 0 0 7 716.62
Elisabeth_GUIGOU 663.95 5 5 663.95 0 0
Dominique_MARANINCHI 534.76 1 0 0 1 534.76
Thierry_FREMAUX 3276.4 4 0 0 4 3276.4
Albert_UDERZO 96.8 10 0 0 10 96.8
Chloe_BUFFARD 526.95 9 8 457.58 1 69.37
Pierre_BERGE 688.91 9 0 0 9 688.91
Mariam_PIRZADEH 663.46 17 0 0 17 663.46
Jacques_ATTALI 719.37 11 0 0 11 719.37
Milan_POYET 248.92 4 0 0 4 248.92
Michel_ISSINDOU 557.78 4 0 0 4 557.78
Nicolas_DE_LABAREYRE 669.73 18 0 0 18 669.73
Flavie_FLAMENT 72.25 7 0 0 7 72.25
Denis_JEAMBAR 681.2 6 0 0 6 681.2
Pierre_LANG 213.72 1 0 0 1 213.72
Helene_MANGIARDI 123.6 2 2 123.6 0 0
Roland_SICARD 697.94 10 0 0 10 697.94
Laurent_VOULZY 508.74 3 0 0 3 508.74
Arnaud_ARDOIN 690.56 7 7 690.56 0 0
Jean-Francois_PERES 154.34 1 1 154.34 0 0
Yamina_BENGUIGUI 685.95 10 0 0 10 685.95
Pascal_PERRI 668.64 3 3 668.64 0 0
Christophe_REGNARD 353.12 1 1 353.12 0 0
Jacques_FOLLOROU 435.04 1 1 435.04 0 0
Marie_CASADEBAIG 246.24 4 0 0 4 246.24
Benoit_LORDELOT 674.14 19 0 0 19 674.14
Anne_LAUVERGEON 1655.96 5 0 0 5 1655.96
Frederic_LEFEBVRE 352.41 6 0 0 6 352.41
Jerome_KERVIEL 1312.07 5 0 0 5 1312.07
