BFMTV_BFMStory_2012-11-08_175800 258.597 314.699 Olivier_TRUCHOT  185 28 56.102 49.55 5.94000000000005 0.131455399061033 0.105878578303805 bonsoir à tous(2) à la femme est(2) déjà(2) venu(2) merci de(2) votre(2) fidélité(2) nous sommes en(2) direct jusqu'à dix-neuf heures à la une(2) de l' effet mesurer(2) ce(2) soir l' immense pagaille hier soir sur le(2) réseau(2) sncf en région parisienne(2) cinquante mille(2) voyageurs bloqués deux conducteurs blessés(3) agressés(2) par des voyageurs l' un des conducteurs est toujours hospitalisé et puis le(2) ministre des temps forts qui demandent des(2) explications sncf ce(2) soir témoignages(3) réactions dans les faits(2) historiques on se(2) plus ou moins sur les routes le(2) mois d' octobre a connu une(2) très forte baisse(2) de(2) la mortalité routière moins seize pour cent nous ferons le(2) bilan avec le(2) délégué(4) et interministérielle à la sécurité(2) routière(3) Frédéric_Péchenard(2) la pauvreté en france et touche de(2) plus(3) en plus(3) de(2) femmes principal enseignement(2) du rapport annuel du secours catholique son président(2) non(2) invité et puis la chine qui change(2) il y(5) aura l' occasion du dix-huitième congrès du parti communiste(2) chinois quel est le(2) nouvel homme fort de(2) la dixième puissance économique(3) du monde nous sommes en direct avec(2) en ce(2) sens dans des femmes(4) 
BFMTV_BFMStory_2012-11-08_175800 673.466 675.963 Francois_HOLLANDE  5 2 2.497 1.45000000000005 0.870000000000005 0.285714285714286 0.348418101722068 la jeunesse se(2) doit(2) être 
BFMTV_BFMStory_2012-11-08_175800 676.631 677.397 Francois_HOLLANDE  1 0 0.766 0.677000000000135 0 0 0 également(3) 
BFMTV_BFMStory_2012-11-08_175800 678.338 679.427 Francois_HOLLANDE  2 0 1.089 0.919999999999959 0 0 0 la volonté 
BFMTV_BFMStory_2012-11-08_175800 680.075 684.523 Francois_HOLLANDE  11 2 4.448 3.27999999999997 1.02999999999997 0.153846153846154 0.231564748201433 du gouvernement et de(2) lançant des pouvoirs publics pour ce(2) quinquennat 
BFMTV_BFMStory_2012-11-08_175800 685.216 734.581 Rachid_M_BARKI  151 32 49.365 43.1400000000002 6.01999999999998 0.174863387978142 0.121948749113744 allô François_Hollande qui a par ailleurs téléphoné(2) à Barack_Obama ils(2) ont convenu(2) de(2) renforcer leur action commune c' est ce qu' a fait savoir tout(2) à l' heure à l' elysée les(2) ouvriers(3) de(2) psa d' aulnay-sous-bois on manifesté ce matin à bobigny où se tenait une(2) réunion tripartite entre le(2) constructeur automobile et les(2) organisations syndicales et les pouvoirs publics psa espère pouvoir proposer de(2) plus(3) d' emplois que(2) prévu(2) aux salariés d' aulnay-sous-bois rappelons(3) que(2) l' usine est promise à la fermeture et ce qui doit être très industrialisée dix(3) huitième congrès du parti communiste(2) chinois s' est(3) ouvert aujourd'hui à pékin(2) pour renouveler(3) les(2) instances du parti après dix(3) ans au pouvoir le(2) président(2) vous jean tao va céder son fauteuil achille jean ping hao mou ce sera(2) au mois de mars mais(2) celle -ci doit d' abord être(2) désigné(2) comme nouveau secrétaire général du parti communiste(2) chinois 
BFMTV_BFMStory_2012-11-08_175800 735.231 755.19 Rachid_M_BARKI  76 8 19.959 18.3200000000004 1.56999999999982 0.0952380952380952 0.0786612555739177 de nouvelles manifestations aujourd'hui en grâce au lendemain(2) de(2) l' adoption par le(2) parlement d' un(2) nouveau plan d' économie adoption salué d' ailleurs par la commission européenne(7) et aussi par la bce lundi prochain le ministre(2) des finances de(2) la zone euro se(2) réunissent(3) à bruxelles(3) pour discuter de(2) la situation financière de la grèce qui a besoin d' urgence d' une nouvelle tranche d' aide(2) de(2) trente et un virgule deux milliards d' euros 
BFMTV_BFMStory_2012-11-08_175800 755.19 759.979 Olivier_TRUCHOT  14 0 4.789 4.61899999999991 0 0 0 dans l' actualité également(7) ce(2) soir de(2) très lourdes(2) sanctions contre(2) les footballeurs fêtard(2) 
BFMTV_BFMStory_2012-11-08_175800 759.979 782.651 Rachid_M_BARKI  71 17 22.672 20.5300000000007 2.00999999999988 0.193181818181818 0.0886556104445959 c' est une ville à être privé de(2) sélection nationale jusqu' en juillet deux mille quatorze quatre autres(2) joueurs en sont suspendues jusqu' en décembre deux mille treize par la commission de(2) discipline de la fédération française de(2) football cela(2) pour sa trop faire une virée nocturne à paris au beau milieu des qualifications de(2) l'équipe espoirs de(2) france(2) espoirs pour l' euro et qui était pourtant(2) disputé au havre yann 
BFMTV_BFMStory_2012-11-08_175800 783.197 797.463 Rachid_M_BARKI  47 4 14.266 13.25 0.769999999999868 0.0784313725490196 0.0539744847889996 une équipe de(2) france de(2) football sans benzema anime à vous gare(2) dans pour affronter l' italie en match amical mercredi prochain à parme(2) en revanche(3) l' Didier_Deschamps(2) a décidé(2) de(2) convoquer Yoann_Gourcuff(2) qui n' avaient plus revêtu le(2) maillot bleu depuis le(2) vingt sept mai écoutez(3) 
BFMTV_BFMStory_2012-11-08_175800 798.75 800.705 Didier_DESCHAMPS  6 1 1.955 1.65999999999997 0.155000000000086 0.142857142857143 0.0792838874680749 il est bien vécu(2) en irak 
BFMTV_BFMStory_2012-11-08_175800 801.507 809.034 Didier_DESCHAMPS  17 6 7.527 4.84000000000003 2.20000000000005 0.260869565217391 0.292281121296671 j' ai envie de(2) le(2) voir dans le(2) groupe avant les les(2) échéances(8) importantes qui nous(2) attendent 
BFMTV_BFMStory_2012-11-08_175800 809.763 823.933 Didier_DESCHAMPS  48 11 14.17 10.9800000000002 2.55999999999995 0.186440677966102 0.18066337332392 en début(2) d' année prochaine(3) je pense mais je(2) ne(2) vous parlez des des qualités techniques(2) de(2) de(2) johann mais il y(5) a cette(2) faculté à faire(2) échouer(2) les(2) autres et à faire bien jouer les(2) ont(2) amenés(2) dans de(2) bonnes(2) dispositions communes et à l' heure actuelle 
BFMTV_BFMStory_2012-11-08_175800 824.48 829.183 Didier_DESCHAMPS  13 4 4.703 3.28999999999996 1.08000000000004 0.235294117647059 0.229640654901136 c' est un(2) élément(4) qui peut être(3) important pour moi pour le collectif(2) 
BFMTV_BFMStory_2012-11-08_175800 829.806 848.512 Rachid_M_BARKI  61 10 18.706 17.5000000000006 1.19599999999991 0.140845070422535 0.0639367048005941 a noter aussi que(2) les(2) entraîneurs du quinze de(2) france(2) de rugby évidemment(3) décidé de(2) titulariser leleux(3) dominé les maximes moschino et l' ouvreur frédéric michalak à la charnière pour affronter l' australie ce(2) sera(2) samedi au stade de(2) france en ouverture(3) des test-matches d' automne(2) le(2) pilier de castres yannick forestier au nord à sa toute première sélection(2) comme titulaire 
BFMTV_BFMStory_2012-11-08_175800 848.512 849.983 Olivier_TRUCHOT  7 1 1.471 1.31299999999999 0.0499999999999545 0.125 0.0339904826648229 de(2) l' homme attaquait(2) en prévu(2) c' 
BFMTV_BFMStory_2012-11-08_175800 849.983 867.985 Rachid_M_BARKI  59 13 18.002 15.2099999999999 2.75999999999999 0.180555555555556 0.15331629818909 est bien les pluies qui remonteront(4) d' espagne pour envahir tout le(2) sud-ouest du pays(3) d' ailleurs le(2) temps sera plutôt sec même si le ciel sera voilé températures de(2) zéro(2) degré à dijon à dix degrés dix degrés au soixante dans tout le monde vivent en dessous(3) de la france perpignan vous(2) y(4) êtes(2) -vous si tu as(2) 
BFMTV_BFMStory_2012-11-08_175800 867.323 890.743 Olivier_TRUCHOT  79 14 23.42 21.4369999999996 1.90999999999985 0.150537634408602 0.0815542271562705 tu as(2) ils ne savaient placer perpignan sur une carte vous(2) êtes(5) formidables reviendra(2) à dix-huit(2) heures trente et un fils de harkis ont Arnaud_Viviant nous sur l' immense pagaille hier soir sur le(2) réseau sncf en région parisienne(2) le(2) réseau(2) nord pourquoi bah tout simplement parce que au départ(2) il y(5) avait à un simple(2) problème d' alimentation électrique(3) sur une mine en seine-et-marne est(2) a déclenché(2) une bagarre généralisée(3) on essaie de comprendre pourquoi bheki(2) boukhrit bonsoir 
BFMTV_BFMStory_2012-11-08_175800 890.743 891.062 Yves_BOUTRY  1 0 0.319 0.31899999999996 0 0 0 bonsoir 
BFMTV_BFMStory_2012-11-08_175800 891.062 892.769 Olivier_TRUCHOT  5 0 1.707 1.58999999999992 0 0 0 représenter les clients(5) les(2) usagers 
BFMTV_BFMStory_2012-11-08_175800 892.769 893.112 Yves_BOUTRY  1 1 0.343 0.190000000000055 0.111000000000104 0.5 0.323615160350157 voilà 
BFMTV_BFMStory_2012-11-08_175800 893.112 907.138 Olivier_TRUCHOT  45 13 14.026 12.1780000000003 1.83800000000008 0.224137931034483 0.13104234992158 très(2) en colère sur cette(2) ligne(2) b du rer notamment(2) vice-président(3) de(2) la note(2) île-de-france alors et si on comprend ce qui s' est passé avec(2) un peu de recul donc si j' ai bien compris petits problèmes d' alimentation électrique(3) et les femmes(2) caténaires(9) 
BFMTV_BFMStory_2012-11-08_175800 907.138 907.567 Yves_BOUTRY  0 2 0.429 0 0.386999999999944 1 0.902097902097771 
BFMTV_BFMStory_2012-11-08_175800 907.567 911.107 Olivier_TRUCHOT  10 3 3.54 2.48000000000013 0.996999999999957 0.230769230769231 0.281638418079084 cioni en seine-et-marne et puis ensuite élevés(6) boule de(2) neige 
BFMTV_BFMStory_2012-11-08_175800 911.107 917.797 Yves_BOUTRY  30 5 6.69 5.45999999999981 1.13 0.142857142857143 0.168908819133034 voilà sur une ligne sur les lignes qui n' est(3) pas qui qui qui n' est pas tout proche de la gare du nord donc un effet(2) boule de(2) neige 
BFMTV_BFMStory_2012-11-08_175800 918.465 938.017 Yves_BOUTRY  85 13 19.552 16.65 2.77999999999986 0.13265306122449 0.14218494271685 parce que(2) sans doute les(2) voyageurs de(2) la quitter qui était c' est dans le(2) train qui a été(2) en cause(2) en seine-et-marne(2) non pas tous des(2) enfants(2) sont nécessaires et finalement(3) au bout d' un certain(2) temps un sont(2) à ras le bol du fait(2) que(2) ce(2) soit qui sont souvent des(2) incidents qui subit souvent des(2) incidents sont descendus sur les voies(2) qui par commander ce qu' il faut pas faire un petit(3) on se met en dollars qu' il faut pas faire 
BFMTV_BFMStory_2012-11-08_175800 938.017 942.36 Olivier_TRUCHOT  16 1 4.343 4.01299999999992 0.25 0.0588235294117647 0.0575638959244762 de(2) ces avions tirent le signal ardent désespérez(11) pas(2) répandant fausse et ça durait trop longtemps 
BFMTV_BFMStory_2012-11-08_175800 939.087 940.04 Yves_BOUTRY  2 1 0.953 0.67999999999995 0.25 0.333333333333333 0.262329485834208 ardent désespérez(11) 
BFMTV_BFMStory_2012-11-08_175800 940.435 940.791 Yves_BOUTRY  1 0 0.356 0.125 0 0 0 pas(2) 
BFMTV_BFMStory_2012-11-08_175800 942.36 955.805 Yves_BOUTRY  62 4 13.445 13.03 0.360000000000014 0.0606060606060606 0.0267757530680561 envahissante et sens qui n' est pas vos(2) informations nécessaires(2) j' étais pas d' entracte(2) pour vous confirmez meyssan puis(2) après toutes les(2) informations nécessaires et exaspéré(4) contient cinq d' alarme pour pouvoir sortir et et et rejoint les gars parce qu' en fait(2) il était(3) arrêté(2) en pleine(3) ni à proximité des gares dont(2) il avait envie de rejoindre la gare(2) 
BFMTV_BFMStory_2012-11-08_175800 955.108 964.313 Olivier_TRUCHOT  19 8 9.205 7.59000000000037 1.5 0.296296296296296 0.162954915806627 la gare(2) quoi quelques(6) voyageurs exaspérés(2) ou à passy anrs sur les voies bloquer l' ensemble du réseau nord 
BFMTV_BFMStory_2012-11-08_175800 964.313 1004.703 Yves_BOUTRY  170 26 40.39 36.2199999999999 4.12700000000007 0.13265306122449 0.1021787571181 valence un simple la question(2) que(2) quand(2) on peut se poser est en tête se mange un peu après son décès(3) in que(2) que(2) le(2) réseau nord est constitué d' une dame d' une grande toile électrique(5) sans que(2) sans eux et et et en fait(2) tous les trains dépendent(3) aussi d' un(2) toit électrique(5) il y(4) a pas de sexe(2) n' en a y(4) a pas de(2) soi est très par ligne dont le résultat(2) quand(2) un(2) incident quelque(2) part et se(2) répercute sur le(2) reste(2) kantien y(4) a pas de(2) sécurité(2) qu' il faut couper le courant est le(2) rôle(2) de couper le courant de de(2) circonscrire la zone où il faut couper le courant de la vienne à son grand retour(2) beaucoup partout alors évidemment on(2) on n' augmente exaspération des voyageurs arrière-pensées(3) comprennent pas pourquoi elle(3) est et on(2) on(2) obtient finalement(3) un résultat avec(2) des voyageurs qui descendent(4) sur les voir aussi ailleurs alors qu' il n' y(4) aucune raison n' est pas utile(2) face 
BFMTV_BFMStory_2012-11-08_175800 991.806 992.517 Olivier_TRUCHOT  3 1 0.711 0.600000000000023 0.0800000000000409 0.25 0.112517580872069 son grand retour(2) 
BFMTV_BFMStory_2012-11-08_175800 1004.7 1013.715 Olivier_TRUCHOT  24 6 9.015 7.34000000000026 1.62000000000012 0.2 0.179700499168066 nue pourquoi n' est -il(2) pas cette(3) information qui semble essentielle(2) tout simplement informé à l' intérieur du train les voyageurs ça prend(2) autant 
BFMTV_BFMStory_2012-11-08_175800 1013.72 1018.982 Yves_BOUTRY  31 2 5.262 5.10000000000002 0.119999999999891 0.0606060606060606 0.0228050171037421 oui oui bah effectivement(6) mais je(2) je(2) pense que(2) c' est plus(3) ou moins fait mais c' est sans doute pas bien fait c' est sans doute fait de manière contradictoire 
BFMTV_BFMStory_2012-11-08_175800 1018.98 1021.849 Olivier_TRUCHOT  14 1 2.869 2.5200000000001 0.289999999999964 0.0666666666666667 0.101080515859172 par les producteurs de disques(2) ce(2) même sur beaucoup de(2) ça a bas(2) et 
BFMTV_BFMStory_2012-11-08_175800 1021.2 1050.511 Yves_BOUTRY  118 15 29.311 26.7899999999983 2.34000000000015 0.112781954887218 0.0798335096039079 de(2) ça a bas(2) et puis il y(5) a y(5) a il y(5) a un poste(2) d' impossibles à censés donner l' information mais est ce que(2) est ce que(2) de toutes(4) façons sont donnés à ce que(2) les conducteurs ont gardé de(2) bonnes(4) informations il faut savoir aussi que(2) maintenant(3) beaucoup de voyageurs arriver(2) à des(2) informations par des moyens peut détourner(2) ou ou pas les moyens électroniques(3) smartphone etc. par les blogs par les suites par par tuteurs et cetera tous(2) les(2) informations lin finalement(3) forment un vaste(2) cafouillage des résultats(3) dans ces pages on sait pas quelle(4) quelle attitude adopter quand(2) on(2) a son train bloqué en cepaci pour rester sortir ou ou quoi faire 
BFMTV_BFMStory_2012-11-08_175800 1050.51 1052.621 Olivier_TRUCHOT  11 4 2.111 1.43999999999937 0.659999999999854 0.266666666666667 0.312648034106989 c' est vrai que le(2) réseau(2) est(3) à bout de souffle 
BFMTV_BFMStory_2012-11-08_175800 1052.62 1076.237 Yves_BOUTRY  102 14 23.617 20.9199999999978 2.62999999999988 0.120689655172414 0.111360460685095 oui alors effectivement(7) le(2) réseau(2) et et a été(2) n' y(5) a une peu d' investissements(6) pas beaucoup à l' histoire(2) d' une trentaine d' années on(2) paie les conséquences(3) pas heureusement(3) y(5) a une prise de(2) conscience qui a été(2) faite par le logé c' est à l' infrastructure rff et puis par la sncf et on commence à avoir des travaux qui sont réalisés(2) sur certaines lignes de(2) renouvellement(2) de l' eau de(2) modernisation et donc ça ira que sont(2) l' appel à l' avenir(2) mais pour l' instant c' est bien encore des conséquences(3) de(2) benoît les six(2) membres 
BFMTV_BFMStory_2012-11-08_175800 1076.24 1085.334 Olivier_TRUCHOT  32 6 9.094 8.38999999999965 0.649999999999864 0.157894736842105 0.0714756982625757 pourtant il y(5) a près de(2) quatre millions de(2) franciliens qui chaque jour empruntent(2) les cinq(2) ligne e du rer qui s' étend rappelons(3) -le(2) sur environ six cents kilomètres de(2) voies 
BFMTV_BFMStory_2012-11-08_175800 1085.33 1085.601 Yves_BOUTRY  1 2 0.271 0.0899999999999181 0.170000000000073 0.666666666666667 0.627306273062999 et 
BFMTV_BFMStory_2012-11-08_175800 1085.6 1093.459 Olivier_TRUCHOT  30 4 7.859 7.39999999999941 0.458999999999833 0.117647058823529 0.0584043771471985 c' est(3) un nombre de(2) voyageurs qui est(3) en constante(2) augmentation plus(2) trente pour cent en disant que ça veut dire que(2) les pouvoirs publics n' ont pas suivi derrière 
BFMTV_BFMStory_2012-11-08_175800 1093.46 1111.979 Yves_BOUTRY  61 17 18.519 16.1399999999999 2.32899999999972 0.217948717948718 0.125762730169001 voilà ça veut dire que(2) les(2) investissements(2) malgré malgré la fin prêts rapaces ont(2) augmenté sur les lignes(4) des(2) investissements(2) n' ont pas augmenté en france en rapport avec les avec la fréquentation(2) tourmenté sur les quais augmentait résultat la balance retrouvaille des lignes avec un très fort niveau d' augmentation de fréquentation et des(2) élèves(5) et des des infrastructures obsolète 
