BFMTV_BFMStory_2012-07-27_175800 167.01 174.576 Olivier_TRUCHOT  28 5 7.566 7.07000000000005 0.360000000000014 0.151515151515152 0.0475812846946886 ce(2) soir ce(2) qu' il faut retenir(2) dans l' actualité Frédéric_De_Lanouvelle(3) bronson à vrai dire il y a plus que(2) quelques(3) heures avant l' ouverture des jeux(2) olympiques 
BFMTV_BFMStory_2012-07-27_175800 349.862 352.265 Danny_BOYLE  9 0 2.403 2.36000000000001 0 0 0 c' est là dans le(2) cas présent(3) les volontaires 
BFMTV_BFMStory_2012-07-27_175800 352.713 358.146 Danny_BOYLE  17 4 5.433 4.82000000000016 0.449999999999989 0.19047619047619 0.0828271673108759 oui il y(5) a de(2) quoi se(2) sentir nerveux pour pour vraiment y terminer(2) moi peu importe 
BFMTV_BFMStory_2012-07-27_175800 358.997 363.35 Danny_BOYLE  16 2 4.353 3.9899999999999 0.260000000000048 0.111111111111111 0.0597289225821382 mais les discussions que(2) je(2) ressens c' est évidemment(4) j' imagine que(2) c' est pareil pour 
BFMTV_BFMStory_2012-07-27_175800 364.122 365.712 Danny_BOYLE  4 1 1.59 1.30000000000001 0.120000000000005 0.2 0.0754716981132104 je(2) suis impatient vraiment 
BFMTV_BFMStory_2012-07-27_175800 366.166 369.673 Danny_BOYLE  15 0 3.507 3.47000000000008 0 0 0 voilà notre de zahra près arrivera(2) ce(2) qui arrivera(2) parce que(2) c' est du live 
BFMTV_BFMStory_2012-07-27_175800 370.108 376.955 Danny_BOYLE  25 7 6.847 5.55199999999996 1.24999999999994 0.21875 0.182561705856571 aube(2) et c' est une fois seulement(3) je(2) le(2) referai jamais c' est extraordinaire(5) de(2) vivre(2) sa un à ces(2) ex journée ce même(3) port 
BFMTV_BFMStory_2012-07-27_175800 377.376 382.186 Olivier_TRUCHOT  17 2 4.81 4.29000000000002 0.400000000000034 0.105263157894737 0.0831600831600903 dans l' actualité également(7) la commission de(2) discipline de(2) la fédération française de(2) football elle a tranché 
BFMTV_BFMStory_2012-07-27_175800 382.186 392.861 Frederic_DE_LANOUVELLE  37 4 10.675 10.0499999999997 0.560000000000002 0.0975609756097561 0.0524590163934428 les débordements de(2) Samir_Nasri c' Jérémy_Menez(2) hatem ben arfa y(4) a même(3) ville à l' euro était discutée en(2) effet(2) aujourd'hui suspension pour deux d' entre-eux les détails de(2) Rémi_Garde au devant le siège de(2) la fédération(4) 
BFMTV_BFMStory_2012-07-27_175800 393.85 449.654 Remi_PERROT  208 40 55.804 50.9900000000001 4.67000000000002 0.161290322580645 0.0836857572933843 et comme on pouvait s' y(5) attendre(2) c' est donc l' Samir_Nasri qui a écopé(2) de(2) la plus lourde(2) sanction trois matchs de(2) suspension en(2) équipe de(2) france pour le(2) joueur de(2) manchester(3) city qui était(3) présent ce(2) matin ici au siège de(2) la fédération(3) française de(2) football trois matchs de(2) suspension pour son ferme(2) ta gueule adressée(2) à la presse française(2) et devant les caméras du monde entier lors du tout premier match de(2) l'équipe de(2) france lors de(2) l' euro un match de(2) suspension ces pourrait Jérémy_Menez qui lui avait eu une altercation avec son capitaine et co(2) équipier Hugo_Lloris était(3) légalement(5) tenu(2) des propos hein tant qu' on verra l' arbitre(2) la rencontre(2) france(2) espagne en revanche(3) la commission de discipline était plutôt clément(3) avec hatem ben arfa tajan aime villa les(2) joueurs n' est qu' un peu plus d' un simple(2) rappel à l' ordre et puisque en ce qui concerne(2) les primes de(2) match il va falloir encore attendre pour savoir si elles seront reversées ou non pas aux joueurs de(2) l'équipe de(2) france il faut attendre la tenue du comité exécutif(2) en tout cas aujourd'hui la commission de(2) discipline a tranché trois matchs de(2) suspension pour Samir_Nasri est un match pour Jérémy_Menez 
BFMTV_BFMStory_2012-07-27_175800 450.601 481.19 Frederic_DE_LANOUVELLE  107 16 30.589 28.6799999999999 1.79999999999995 0.130081300813008 0.0588446827290841 attention aux violents(2) orages sur le(2) nord de(2) la france quarante trois départements(3) sont placés en vigilance orange par météo(3) france(2) sur une zone(2) nord-sud allant du midi-pyrénées nord-pas-de-calais(2) de(2) fortes(3) averses(2) de(2) pluie sont(2) annoncées possibilités de(2) chutes de(2) grêle également(7) des rafales de(2) vent elle pourrait dépasser(2) les cent kilomètres heure et puis les routes(2) très chargées aussi ce week-end journée classée orange(2) niveau national dans le sens(2) des départs(2) orange aussi pour les retours dans le sud-est de(2) la france puis demain ce(2) sera(2) pire puisque(2) bison futé voit rouge(2) pour les départs(2) au niveau national rouge pour les retours dans la moitié sud 
BFMTV_BFMStory_2012-07-27_175800 481.19 486.305 Olivier_TRUCHOT  16 3 5.115 4.56999999999999 0.360000000000014 0.157894736842105 0.0703812316715569 l' actualité c' est(3) aussi la tuerie probablement prémédité(4) selon les(2) enquêteurs(3) la tuerie de(2) savoir 
BFMTV_BFMStory_2012-07-27_175800 486.305 494.875 Frederic_DE_LANOUVELLE  36 3 8.57 7.89999999999986 0.635000000000048 0.0769230769230769 0.0740956826137745 un(2) homme de(2) vingt quatre ans qui a battu son père et son frère de(2) huit(2) ans un(2) autre(2) de(2) ses frères et grièvement(4) blessé(2) sa mère(2) a prévenu(2) les secours les détails de(2) tomates rochechouart(4) 
BFMTV_BFMStory_2012-07-27_175800 495.255 501.57 Thomas_DE_ROCHECHOUART  15 5 6.315 3.99999999999994 0.960000000000036 0.25 0.152019002375303 un chalet paisible(2) au coeur des(2) alpes(2) une famille aisée et en(2) apparence sans(2) histoires 
BFMTV_BFMStory_2012-07-27_175800 501.927 506.677 Thomas_DE_ROCHECHOUART  20 1 4.75 4.48999999999984 0.113 0.0476190476190476 0.0237894736842104 rien de(2) l' extérieur(3) ne(2) laissait présager(2) le(2) drame qui s' est déroulée(2) ici à huis clos derrière ses volets 
BFMTV_BFMStory_2012-07-27_175800 507.056 510.79 Thomas_DE_ROCHECHOUART  12 3 3.734 2.88 0.650000000000034 0.2 0.174076057846822 lorsque(2) tout bascule la famille réunie en fin d' après-midi(2) ce(2) jeudi 
BFMTV_BFMStory_2012-07-27_175800 510.79 525.376 Christian_SEIGLE-FERRAND  43 14 14.586 10.4799999999998 3.03599999999983 0.245614035087719 0.208144796380079 elle ne(2) le rendait les garçons qui est un coup de folie on va dire sûrement(3) sûrement(3) au cours d' une dispute avec(2) son père ça ça a dégénéré(4) bien donc abattu son père et ses deux frères(2) avec(2) une arme à feu 
BFMTV_BFMStory_2012-07-27_175800 525.376 542.658 Thomas_DE_ROCHECHOUART  69 9 17.282 14.8500000000001 2.32799999999975 0.115384615384615 0.134706631176932 le(2) terri(2) l' un des frères âgés de(2) huit(2) ans sont tués sur le(2) cou blessé(2) grièvement(4) le(2) deuxième(3) frère est(3) toujours dans le(2) coma la mère qu' elle parvient(2) à s' enfuir c' est(3) elle qui donne l' alerte(3) à bosser c' est la consternation tout le monde ici connaissait la famille très(2) impliqué dans la vie du village(2) cette voisine(2) vient(2) à peine d' apprendre la nouvelle 
BFMTV_BFMStory_2012-07-27_175800 556.914 562.343 Thomas_DE_ROCHECHOUART  16 3 5.429 5.00999999999999 0.330000000000041 0.157894736842105 0.0607846748940949 des problèmes(2) psychiatriques confirmée par le(2) parquet de(2) chambéry qui étudie(2) la piste(2) de(2) la préméditation 
BFMTV_BFMStory_2012-07-27_175800 562.769 572.627 Thomas_DE_ROCHECHOUART  35 5 9.858 8.51999999999987 1.23700000000008 0.125 0.125481842158661 agé de(2) vingt quatre ans le(2) fils(3) amateur de(2) jeux de rôle(2) travailler dans l' entreprise fondée par le(2) père qui avait fait fortune avec(2) cette première société(2) entre les deux les disputes étaient fréquentes 
BFMTV_BFMStory_2012-07-27_175800 572.627 586.855 Bertrand_LAFERRERE  51 3 14.228 13.4600000000003 0.620000000000005 0.0555555555555556 0.0435760472308128 le suisse(2) premier je(2) ne peux(2) pas me(2) tout comme(2) ils le sont pas professionnels(5) il arrivait pas à ce(2) stade diffusée que lorsque(2) je pense(2) effectivement(6) qu' il était très(2) attaché au prévu au kilo alors je suis plus petites(5) choses ont ont trop tôt ce(2) qui peut(2) le(2) penser 
BFMTV_BFMStory_2012-07-27_175800 586.855 590.76 Thomas_DE_ROCHECHOUART  12 4 3.905 3.32999999999993 0.514999999999873 0.25 0.131882202304705 le(2) fils(3) a été(2) arrêté(2) une enquête pour assassinat a été(2) ouverte 
BFMTV_BFMStory_2012-07-27_175800 592.272 603.903 Frederic_DE_LANOUVELLE  40 6 11.631 10.47 1.16100000000006 0.130434782608696 0.0998194480268299 visite de(2) françois hollande chez l' équipementier(2) automobile valeo aujourd'hui une entreprise française qui réussit selon le président(6) il y(4) a à nouveau défendu(2) le(2) plan des du gouvernement à la filière(3) automobile et l' avenir(2) de(2) la voiture électrique(7) 
BFMTV_BFMStory_2012-07-27_175800 603.903 605.174 Francois_HOLLANDE  2 2 1.271 0.649999999999977 0.409999999999968 0.5 0.322580645161265 je(2) voulais 
BFMTV_BFMStory_2012-07-27_175800 605.867 611.186 Francois_HOLLANDE  14 2 5.319 4.38999999999999 0.720000000000027 0.125 0.13536379018613 montrer que(2) le(2) plan qui a été présenté par le(2) gouvernement le(2) ministre(2) mongo 
BFMTV_BFMStory_2012-07-27_175800 612.286 616.047 Francois_HOLLANDE  6 3 3.761 3.13 0.537000000000035 0.333333333333333 0.142781175219366 permettait(2) de(2) donner priorité(3) aux véhicules(2) 
BFMTV_BFMStory_2012-07-27_175800 616.7 621.741 Francois_HOLLANDE  12 6 5.041 3.45999999999992 1.42000000000007 0.333333333333333 0.281690140845085 de(2) demain ceux là mêmes qui sont conçus pour une part ici 
BFMTV_BFMStory_2012-07-27_175800 622.374 642.715 Frederic_DE_LANOUVELLE  60 13 20.341 17.15 3.01599999999985 0.178082191780822 0.148271963030325 l' actualité en syrie et les combats entre les forces de(2) Bachar_Al-Assad bali qui font toujours rage alep deuxième(3) ville du pays(3) également(3) hadera(2) où malgré les violences plusieurs manifestants ont défilé(2) dans la rue à la frontière libano syrienne les réfugiés(3) sont(2) également(7) cible(2) de(2) l' armée de(2) Bachar_Al-Assad le récit(2) de(2) nos(2) envoyés spéciaux(2) Laëtitia_Soudy qu' au togo(2) 
BFMTV_BFMStory_2012-07-27_175800 642.715 695.777 Laetitia_SOUDY  182 35 53.062 47.1570000000002 5.3399999999998 0.161290322580645 0.100636990690132 du village libanais nous(2) avons pu nous rendre on(2) a pu voir clairement(3) le(2) drapeau syrien il faut dire qu' une petite rivière séparant les deux pays et ce(2) village libanais depuis des mois la cible de(2) l' armée syrienne régulières sur les murs les(2) impacts de(2) balles se(2) comptent(2) par dizaines de l' armée syrienne utilisent désormais(3) l' artillerie(2) lourde pour bombarder ce village il faut dire qu' il y(5) a de(2) nombreux réfugiés syriens qui sont(2) installés ici depuis des mois des réfugiés(3) qui désormais(3) doivent(4) aller un peu plus haut dans les montagnes pour trouver un(2) endroit plus sûr les libanais qui habitent ces villages sont(2) aussi victimes(2) de(2) ce conflit l' un d' entre(2) nous le disait je n' avais aucun problème avec le(2) régime de(2) Bachar_Al-Assad non-voyant ce qui fait que je(2) soutiens désormais(3) la révolution(2) alami si rien(2) ne(2) fait pas que(2) tirer sur ces villages(2) ferait(2) aussi des(2) incursions certains parlent de(2) quitter la clinique il faut dire que(2) cette zone sert aussi de(2) base arrière à de(2) nombreux combattants de(2) l' armée syrienne libre 
BFMTV_BFMStory_2012-07-27_175800 696.48 700.223 Olivier_TRUCHOT  13 3 3.743 3.23000000000002 0.480000000000018 0.1875 0.128239380176334 la météo(3) ascension donc aux(2) orages(2) ce(2) soir et cette(3) nuit demain matin 
BFMTV_BFMStory_2012-07-27_175800 700.223 719.546 Frederic_DE_LANOUVELLE  64 11 19.323 17.9999999999997 1.30699999999979 0.146666666666667 0.0676396004761056 bah des(2) orages qui se décaleront davantage à l' esthétique(2) concerneront les régions(3) du limousin jusqu'à l' auvergne(3) et il n' en reste(2) toujours du soleil sur le(2) sud est(2) retour des(2) éclaircies(2) entre(2) la bretagne la normandie les températures(4) sont(2) en baisse très(2) à brest dit(2) avoir à biarritz dix-neuf à paris et grenoble(2) vingt-et-un perpignan alliot et vingt deux degrés à nice 
BFMTV_BFMStory_2012-07-27_175800 719.546 757.207 Olivier_TRUCHOT  111 28 37.661 33.6000000000004 3.9899999999999 0.201438848920863 0.10594514218953 merci frédéric bory kaina vous fait les jeux(2) olympiques on(2) a moins de(2) quatre heures maintenant(3) de(2) la cérémonie(4) d' ouverture à londres à londres où nous retrouvons hugo brigitte notre(2) consultant l' un des consultants bfm tv pour ces jeux(2) olympiques(2) vingt septième(6) bonsoir hughes vous(2) êtes(2) rappelons(3) -le(2) pour ce(2) qui vous connaissent pas encore un(2) escrimeur vous(2) avez été(2) notamment médaillé(2) d' or par équipes(4) aux jo d' athènes en deux mille quatre nous(2) avait également(7) participé aux géode(4) sinai alors justement reconnue(2) dans quel(2) état(2) d' esprit(2) est(3) -on lorsqu' on(2) est athlète participant aux jeux(2) olympiques à quelques(3) heures de(2) ce(2) défilé(2) dans le(2) stade olympique(2) 
BFMTV_BFMStory_2012-07-27_175800 757.207 787.754 Hugues_OBRY  95 23 30.547 24.6800000000002 5.41999999999985 0.194915254237288 0.177431499001534 ouais ben(2) là on(2) est(3) tous(2) en train de se(2) préparer on mêle aux chaussures roumaine(2) chemise(2) et on se(2) prépare à rentrer dans le(2) long circuit de(2) du défilé(2) avec des beaucoup d' attente(2) dans les cars et puis un moment donné un petit(3) parcage(2) dans des salles pour enfants pouvoir rentrer mais on se regarde tous(2) on(2) essaye de(2) savoir si on(2) est bien(2) habillé on regarde aussi les(2) autres(2) nations donc voilà c' est ça va être le(2) début(2) on(2) est dans les starting-blocks et on(2) espère que(2) ça va bientôt partir 
BFMTV_BFMStory_2012-07-27_175800 787.754 793.317 Olivier_TRUCHOT  20 6 5.563 4.60000000000002 0.907000000000039 0.230769230769231 0.163041524357368 les voilà qui est(3) les jeux(2) olympiques(2) c' est le(2) rendez vous plus(3) important d' une vie d' une carrière 
BFMTV_BFMStory_2012-07-27_175800 793.807 816.466 Hugues_OBRY  88 11 22.659 18.4499999999999 4.19899999999996 0.111111111111111 0.185312679288581 en fait(2) je pense que(2) ça se programme depuis quatre ans on planifie tous les choses depuis quatre ans et puis on(2) attend pour arriver c' est vrai que c' est la compétition(2) majeure c' est la compétition(2) qu' il faut pas louper et il y(5) a tout(2) un travail derrière(3) et on(2) espère ne(2) pas(2) tout(2) à ce(2) jour là mais c' est vraiment la la dernière complet(2) où on peut avoir la reconnaissance et se(2) dire que(2) on peut finir c' est quelque(2) chose de(2) beau 
BFMTV_BFMStory_2012-07-27_175800 816.466 823.87 Olivier_TRUCHOT  20 10 7.404 5.51999999999998 1.73000000000013 0.333333333333333 0.233657482441941 alors ma dont vous(2) êtes delaude côté labarrière vous(2) avez commenter l' escrime(2) d' ailleurs question de(2) chance(2) cette année 
BFMTV_BFMStory_2012-07-27_175800 824.721 852.737 Hugues_OBRY  107 18 28.016 24.3300000000005 3.66599999999994 0.144 0.130853797829809 alors on(2) a un peu moins de chances que(2) les(2) deux(2) années parce qu' on(2) a une(2) délégation(4) qu' un peu diminué du fait(2) de(2) qualification qu' on a été dur aujourd'hui chaque escrimeur qui ici peut éventuellement(8) avoir une médaille je(2) dirais que(2) c' est le(2) plus(3) important ce(2) sera(2) en tout(2) trois et quatre médailles un bon résultat pour nous trois quatre médailles et surtout si on veut garder en tête la france qui gagne au jeu en(2) escrime il faut à tout prix avoir une médaille d' or et pour s' en va commencer dès demain elles(5) aussi elles(3) samedi avec le(2) fleuret dames(2) 
BFMTV_BFMStory_2012-07-27_175800 853.116 857.316 Hugues_OBRY  16 1 4.2 3.85000000000002 0.23599999999999 0.0588235294117647 0.0561904761904738 et notamment une bonne chance de(2) médaille pour astrid du yaro fleuret dames dès demain matin 
BFMTV_BFMStory_2012-07-27_175800 857.316 868.976 Olivier_TRUCHOT  44 6 11.66 10.2199999999999 1.20600000000024 0.12 0.10343053173244 vous(2) avez rencontré les les français les français(2) quel(2) est leur état d' esprit(2) parce que(2) j' essaie d' accueil dans une ambiance(2) bon(3) enfant aussi on se retrouve mais il faut aussi très rapidement(3) se(2) concentrer parce que(2) la compétition(2) démarre très vite(2) 
BFMTV_BFMStory_2012-07-27_175800 869.411 898.006 Hugues_OBRY  114 20 28.595 24.79 3.63899999999978 0.149253731343284 0.127260010491337 que faut faut faut avoir le(2) bon le(2) bon dosage entre(2) s' amuser à se(2) faire plaisir a pu être concentrés pour la complète ne(2) pas basculer trop tôt dans la complète là ils(2) ont fait une(2) une bonne bascule aux sages avital qui s' est très très bien passé je(2) pense qu' ils sont dans(2) une bonne dynamique ensuite après vous savez y(5) a des(2) adversaires tout le monde vient ici pour gagner malheureusement(3) y a que(2) trois médailles en tout cas je(2) suis sûr qu' ils font le(2) maximum pour arriver en tout cas je les(2) ai rencontrés(2) étaient(2) tous(2) motivés tous solidaires et ils(2) avaient envie de donner le maximum de(2) 
BFMTV_BFMStory_2012-07-27_175800 898.006 910.089 Olivier_TRUCHOT  28 14 12.083 9.53999999999974 2.3839999999999 0.333333333333333 0.197301994537772 je(2) disais vous(2) avez connu sinai vous(2) avez connu athènes(2) corps comment se présente londres vous(2) sentez une(2) fièvre(2) londonienne un(2) emballement de la population pour ces jeux 
BFMTV_BFMStory_2012-07-27_175800 910.839 943.363 Hugues_OBRY  117 24 32.524 26.33 5.62999999999988 0.170212765957447 0.173102939367848 c' est difficile quand(2) on(2) est de(2) l' extérieur de(2) comparer j' ai vécu(2) ici mais c' était magnifique athènes(2) y(5) avait une effervescence énorme(4) ici je joue je le(2) ressens qu' un petit(3) peu moins parce que(2) chez moi à l' intérieur du village(2) mais je(2) sens que(2) y(5) a des passionnés de(2) sport qui arrive on(2) a vu dans les métros on voit dans les rues il y(5) a plus(3) en plus(3) de(2) monde(2) et je(2) sens que avec les premiers résultats avec les premiers résultats sportifs et les premières médailles les premières souffrances je(2) pense que(2) c' est là qu' on va vraiment se(2) rendent compte qu' on(2) ait réellement(2) rentrer dans ces jeux 
BFMTV_BFMStory_2012-07-27_175800 943.363 981.071 Olivier_TRUCHOT  145 28 37.708 34.1000000000003 3.57799999999986 0.161849710982659 0.094887026625646 merci oui merci Hugues_Le_Bret(4) en direct de(2) londres consultant et même(4) pour les jeux il a donc à très bientôt parce qu' on a bien compris pour les(2) crimes(2) ça va démarrer très vite et très forte alors justement on(2) a vus Laura_Flessel ça c' est formidable(2) pour l' escrime(3) pour les pays(3) puisque(2) c' est la porte drapeau de(2) l' équipe(3) de(2) france(2) fabienne de rocca réajustement bonjour je vous l' aimez(3) parler avec(2) vous quelques(6) minutes parce que les les les femmes ont une place(2) importante(2) pendant ces ces(2) olympiades Laura_Flessel laure manaudou et vous(2) êtes ici est libre qui s' appelle le(2) sport féminin(2) aux(2) journalistes liquide qui dit le(2) sport c' est le(2) dernier bastion du sexisme(3) à et c' est pas l' impression(2) parce qu' on(2) a choisi Laura_Flessel formidable quarante ans mère de(2) famille c' est(3) un beau symbole(2) 
BFMTV_BFMStory_2012-07-27_175800 981.071 1005.336 Fabienne_BROUCARET  98 20 24.265 21.2300000000001 2.95600000000002 0.169491525423729 0.121821553678138 c' est(3) un beau symbole en(2) effet(2) alors que vous soulignez quand même que(2) c' est que(2) là seulement(3) la troisième(3) femme au pied de port drapeau à la dernière c' était marée jour pérec en quatre(2) vingt seize(2) et avant c' était christine caron un nageuse donc on n' a pas non plus une prédominance(3) des femmes emport drapeau a donc là c' est super Laura_Flessel est vraiment une sportive(2) à un au palmarès important(2) avec(2) plusieurs médaille(3) olympique iep c' est le cinquième(4) région(2) a donc vraiment en(2) effet(2) c' est un beau symbole et puis 
BFMTV_BFMStory_2012-07-27_175800 1005.34 1015.101 Olivier_TRUCHOT  40 8 9.761 8.5200000000001 1.13999999999987 0.166666666666667 0.116791312365523 je(2) veux je(2) sais qu' elle est elle elle(3) est très(2) étudié parce qu' il est(3) encore là en compétition(2) à la quarante(2) ans est(4) un(2) âge avancé pour une sportive de(2) haut niveau bien(2) entendu la mère(3) de(2) famille 
BFMTV_BFMStory_2012-07-27_175800 1015.1 1016.284 Fabienne_BROUCARET  3 2 1.184 0.874000000000024 0.310000000000059 0.4 0.261824324324374 exactement(3) un essai 
BFMTV_BFMStory_2012-07-27_175800 1016.28 1018.032 Olivier_TRUCHOT  6 2 1.752 1.53999999999996 0.159999999999968 0.25 0.0913242009132239 Jacques_Nacer un(2) modèle pour les femmes 
BFMTV_BFMStory_2012-07-27_175800 1018.03 1039.878 Fabienne_BROUCARET  91 15 21.848 19.6399999999998 2.17000000000019 0.141509433962264 0.099322592456984 oui je pense à la paix en(2) valeur c' est une femme très(2) engagés andorre(2) dix(2) morts à contre(2) les discriminations contre le racisme(2) à donc c' est vraiment un beau personnage qui est une(2) très belle histoire et quand(2) on revoyait(3) choyer(2) pendant le reportage(4) les premières(4) images et ces jeux en quatre vingt douze(2) je pense qu' elle a grandi avec(2) le(2) sport français on(2) a tous(2) envie monacal brive au jeu est en(2) effet sans beau modèle bah pour pour les(2) femmes(2) et hommes qui font le sport 
BFMTV_BFMStory_2012-07-27_175800 1039.88 1041.66 Olivier_TRUCHOT  10 0 1.78 1.67999999999984 0 0 0 on parle beaucoup c' est bien sûr de(2) laure manaudou 
BFMTV_BFMStory_2012-07-27_175800 1042.09 1044.364 Olivier_TRUCHOT  11 3 2.274 1.63999999999942 0.524000000000115 0.214285714285714 0.230430958663199 donc il y(5) a il y(5) a des stars au féminin(2) 
BFMTV_BFMStory_2012-07-27_175800 1044.37 1065.962 Fabienne_BROUCARET  99 16 21.592 19.1900000000005 2.35200000000009 0.139130434782609 0.108929233049282 il y(5) a des stars mais alors après y(4) a aussi bas beaucoup de femmes qui sont beaucoup moins connu un compte aussi des gens(2) de(2) médailles(3) dans leurs(2) bords dont(2) on parle beaucoup moins et dont(2) on(2) a tendance hélas(5) à parler tous les quatre ans pendant les jeux quatre on les(2) oublie et elles reviennent(6) voilà pour les jeux(2) c' est pour ça que les(2) jeux sont vraiment très(2) important parce que(2) c' est une vitrine(2) pour le(2) sport pour les femmes(2) est en(2) effet(2) on(2) a quelques(2) stars et elle bouge tout le sport et même(3) 
