;;Spk nbSessionREPERE dureeSessionREPERE nbSessionAutre dureeAutre
Camille_DE_ROCCA-SERRA 0 0 3 5751.99
Camille_LACOURT 0 0 5 93.52
Camille_LAURENS 0 0 1 690.57
Candy_CROWLEY 0 0 3 231.34
Carl_MEEUS 2 322.74 0 0
Carla_BRUNI-SARKOZY 0 0 7 674.96
Carlo_ANCELOTTI 0 0 4 1600.38
Carol_ISOUX 0 0 6 417.74
Carole_BARJON 0 0 2 574.65
Caroline_BAUER 0 0 17 669.82
Caroline_BOISSON 0 0 4 291.14
Caroline_BRUNEAU 0 0 6 527.73
Caroline_DE_HAAS 0 0 4 688.48
Caroline_FOUREST 1 469.99 0 0
Caroline_LANTY 0 0 2 753.28
Caroline_MECARY 1 268.72 0 0
Caroline_MIER 1 39.33 16 652.08
Catherine_GENISSON 1 102.53 8 614.13
Catherine_LABORDE 0 0 8 718.1
Catherine_LARA 0 0 13 2510.15
Catherine_NAY 0 0 5 2001.93
Catherine_PROCACCIA 0 0 4 665.05
Catherine_VAUTRIN 2 640.2 0 0
Cecile_BOURGNEUF 0 0 4 194.84
Cecile_DANRE 3 163 0 0
Cecile_DUFLOT 2 113.42 9 580.44
Cecile_OLLIVIER 3 216.46 0 0
Cecile_TRAN-TIEN 0 0 17 667.31
Cecilia_ATTIAS 0 0 1 244.58
Celine_BITTNER 1 58.38 1 163.76
Celine_BRUEL 0 0 10 398.13
Celine_MISSOFFE 0 0 14 609.99
Celine_PITELET 3 543.77 0 0
Chantal_JOUANNO 0 0 9 670.61
Charles_AZNAVOUR 0 0 4 626.48
Charles_DE_COURSON 2 436.5 4 281.42
Charles_ENDERLIN 0 0 4 663.06
Charles_PELLEGRINI 1 149.89 0 0
Charlotte_GAINSBOURG 0 0 2 292.32
Charlotte_NOTTEGHEM 0 0 9 610.82
Chloe_BUFFARD 8 457.58 1 69.37
Christian_DE_BOISSIEU 0 0 12 748.18
Christian_ECKERT 4 680.91 0 0
Christian_ESTROSI 1 50.42 8 612.47
Christian_FAURE 0 0 2 176.31
Christian_JACOB 6 725.43 0 0
Christian_PAUL 1 465.24 1 251.93
Christian_PROUTEAU 1 324.2 0 0
Christian_VANNESTE 0 0 3 343.09
Christiane_LAMBERT 1 136.92 0 0
Christiane_TAUBIRA 0 0 2 696.31
Christine_BOUTIN 0 0 7 708.02
Christine_CLERC 0 0 3 1417.98
Christine_KELLY 0 0 9 677.2
Christine_LAGARDE 3 235.87 7 470.76
Christophe_BORGEL 0 0 4 707.42
Christophe_CARESCHE 2 164.9 7 505.19
Christophe_CHAMBON 1 246.54 0 0
Christophe_DECHAVANNE 0 0 4 405.29
Christophe_DELAY 32 571.32 0 0
Christophe_HONDELATTE 0 0 3 707.01
Christophe_JAKUBYSZYN 0 0 15 660.44
Christophe_PROCHASSON 0 0 1 339.65
Christophe_REGNARD 1 353.12 0 0
Christophe_RUAULTS 9 723.04 0 0
Christophe_SIRUGUE 1 69.84 7 629.23
Christophe_WILLEM 0 0 3 716.31
Claire_CHAZAL 0 0 3 646.79
Claire_FLEURY 10 539.14 0 0
Claire_QUIDET 1 302.87 0 0
Claire_RICARD 0 0 14 618.05
Claire_ROBICHE 0 0 4 185.81
Claude_ALLEGRE 0 0 10 706.78
Claude_BARRIER 1 197.74 0 0
Claude_BARTOLONE 0 0 10 714.76
Claude_FAUQUET 0 0 1 176.84
Claude_GOASGUEN 3 680.85 0 0
Claude_GUEANT 8 662.68 0 0
Claude_LELOUCH 0 0 11 278.68
Claude_WEILL 8 671.98 0 0
Clement_MERIC 0 0 1 245.97
Clementine_MALIGORNE 0 0 18 680.29
Corinne_LEPAGE 1 197.41 7 533.14
Costa_GAVRAS 0 0 9 3778.96
Cyril_HANOUNA 0 0 6 659.45
Damien_FLEUROT 5 325.99 0 0
Damien_GOURLET 1 366.69 0 0
Daniel_AUTEUIL 0 0 7 700.36
Daniel_COHN-BENDIT 0 0 5 711.05
Daniel_CRAIG 0 0 6 454.81
Daniel_FIDELIN 0 0 3 395.65
Daniel_RIOLO 1 228.93 0 0
Daniele_HEYMANN 1 553.23 0 0
Danny_BOYLE 0 0 4 413.32
Dany_BOON 0 0 8 693.99
Dave_GAHAN 0 0 4 1028.82
David_CAMERON 0 0 4 244.15
David_DOUILLET 0 0 1 594.92
David_PUJADAS 0 0 5 683.54
Delphine_BATHO 4 718.81 0 0
Delphine_WESPISER 0 0 4 678.86
Denis_DEMONPION 3 432.29 1 66.11
Denis_JEAMBAR 0 0 6 681.2
Diane_DESOBEAU 0 0 8 665.83
Diane_GOUFFRANT 7 693.8 0 0
Dianne_FEINSTEIN 0 0 2 240.25
Didier_DESCHAMPS 0 0 7 611.51
Didier_GUILLAUME 0 0 1 695.6
Didier_JULIA 0 0 1 419.78
Didier_PIARD 1 287.16 0 0
Didier_REYNDERS 0 0 5 616.23
Dominique_BAUDIS 0 0 10 672.77
Dominique_BERTINOTTI 0 0 9 106.48
Dominique_BLANC 0 0 2 513.35
Dominique_BUSSEREAU 2 725.08 0 0
Dominique_DE_VILLEPIN 0 0 10 731.31
Dominique_DORD 0 0 5 409.58
Dominique_MARANINCHI 0 0 1 534.76
Dominique_PAILLE 2 689.69 0 0
Dominique_PLIHON 0 0 9 733.07
Dominique_STRAUSS-KAHN 0 0 3 688.46
Douglas_MCKEON 0 0 3 130.25
Edouard_BAER 0 0 4 446.09
Edouard_BALLADUR 0 0 10 713.17
Edouard_LECLERC 0 0 7 2922.99
Edouard_MARTIN 0 0 3 1779.62
Edwige_ANTIER 0 0 10 671.65
Edwin_LE_HERON 1 454.42 1 207.62
Edwy_PLENEL 0 0 7 706.09
Elie_BAUP 0 0 5 501.56
Elisa_BERTHOLOMEY 0 0 18 693.26
Elisabeth_GUIGOU 5 663.95 0 0
Elise_MAILLARD 0 0 3 676.21
Elton_JOHN 0 0 6 207.87
Emilie_HELMSTEIN 0 0 10 663.3
Emilie_TORGEMEN 0 0 3 269.04
Emma_BUNTON 1 6.61 5 62.24
Emmanuel_COSTE 0 0 8 669.99
Emmanuel_DAVIDENKOFF 1 403.08 0 0
Emmanuel_LECHYPRE 0 0 17 683.92
Emmanuel_PIERRAT 0 0 7 2747.91
Emmanuel_SCHWARTZENBERG 1 188.47 0 0
Eric_BESSON 4 447.58 4 276.8
Eric_CANTONA 0 0 5 677.54
Eric_CIOTTI 8 682.14 0 0
Eric_DEBARBIEUX 0 0 3 3318.8
Eric_FOTTORINO 0 0 11 700.51
Eric_HEYER 1 247.09 0 0
Eric_NEUHOFF 1 482.48 3 246.93
Eric_RAOULT 1 410.71 4 275.1
Eric_STRAUMANN 0 0 3 312.11
Eric_TOLEDANO 0 0 2 366.91
Eric_WOERTH 4 761.46 0 0
Eric_ZEMMOUR 0 0 5 721.14
Erwan_LECOEUR 0 0 2 7585.8
Erwann_BINET 0 0 6 96.3
Eva_JOLY 3 99.47 6 568.15
Eva_LONGORIA 0 0 3 298.88
Fabien_LEFORT 2 344.9 0 0
Fabienne_DELAHAYE 0 0 2 152.98
Fabrice_ARFI 0 0 5 4478.61
Fabrice_HENRY 0 0 4 494.42
Fabrice_LUCCHINI 0 0 6 111.24
Fadela_AMARA 0 0 7 719.12
Fanny_AGOSTINI 0 0 19 689.98
Fanny_REGNAULT 0 0 18 678.53
Fanny_SALMON 0 0 3 520.05
Farida_SETITI 1 31.12 10 426.87
Felicity_HUFFMAN 0 0 5 291.53
Felix_BAUMGARTNER 0 0 11 743.63
Flavie_FLAMENT 0 0 7 72.25
Fleur_PELLERIN 0 0 9 666.63
Florence_AUBENAS 0 0 10 690.73
Florence_FRESNEL 1 190.73 0 0
Florence_MURACCIOLE 8 706.44 0 0
Florent_GERMAIN 1 120.07 0 0
Florian_PHILIPPOT 0 0 8 2360.78
Floriane_OLIVIER 0 0 6 275.73
Francis_HILLMEYER 2 122.47 4 598.12
Franck_RIBERY 0 0 4 237.51
Franck_RIESTER 0 0 4 3288.22
Francois-Xavier_WEILL 1 197.58 0 0
Francois_BAROIN 7 747.21 0 0
Francois_BAYROU 1 59.72 9 631.85
Francois_BROTTES 3 275.99 0 0
Francois_CHEREQUE 0 0 10 693.78
Francois_CLUZET 0 0 8 664.49
Francois_DE_CLOSETS 0 0 9 667.32
Francois_DE_RUGY 4 480.31 0 0
Francois_DURPAIRE 1 336 0 0
Francois_FILLON 10 677.31 0 0
Francois_GIUSEPPI 1 256.15 0 0
Francois_HOLLANDE 8 365.71 5 326.62
Francois_LAMY 1 130.27 0 0
Francois_LENGLET 2 368.86 5 348.85
Francois_LONCLE 1 353.79 0 0
Francois_MIQUET-MARTY 0 0 3 1192.37
Francois_MITTERRAND 0 0 3 668.6
Francois_MOLINS 0 0 2 105.34
Francois_OZON 0 0 6 129.13
Francois_PATRIAT 1 624.15 0 0
Francois_PITREL 0 0 3 224.15
Francois_PUPPONI 1 319.12 5 353.27
Francois_REBSAMEN 1 40.97 9 683.13
Francois_SAUVADET 4 682.4 0 0
Francois_SOULAGE 0 0 4 120.99
Francoise_DE_PANAFIEU 0 0 6 675.6
Francoise_HOSTALIER 1 448.88 0 0
Francoise_LABORDE 0 0 8 680.9
Franz-Olivier_GIESBERT 0 0 10 671.99
Frederic_ADAM 7 467.29 1 217.98
Frederic_BARBIER 0 0 5 482.91
Frederic_BEIGBEDER 0 0 10 671.78
Frederic_CUVILLIER 0 0 4 1733.77
Frederic_DE_LANOUVELLE 2 697.43 0 0
Frederic_ENCEL 0 0 5 1465.44
Frederic_LEFEBVRE 0 0 6 352.41
Frederic_MITTERRAND 1 83.25 9 612.04
Frederic_NIHOUS 0 0 5 683.66
Frederic_PECHENARD 0 0 5 1919.06
Frederic_SIMOTTEL 0 0 5 672.31
Gad_ELMALEH 0 0 10 670.43
Gael_MONFILS 0 0 6 677.34
Gaelle_LE_GARREC 0 0 3 186.37
Gaetan_GORCE 0 0 1 351.21
Gaetane_MESLIN 5 323.22 0 0
Geoffroy_DIDIER 0 0 3 1451.02
George_PAU-LANGEVIN 0 0 4 681.83
Georges-Marc_BENAMOU 0 0 7 675.26
Georges_TRON 1 115.75 7 557.46
Geraldine_NAKACHE 0 0 2 64.75
Geraldine_WOESSNER 0 0 7 525.22
Gerard_ASCHIERI 0 0 8 710.2
Gerard_BAPT 2 363.21 5 350.46
Gerard_BIARD 1 329.65 0 0
Gerard_DEPARDIEU 0 0 1 710.66
Gerard_DUBOIS 0 0 2 1348.21
Gerard_JUGNOT 0 0 5 568.26
Gerard_LARCHER 0 0 10 674.97
Gerard_LONGUET 3 181.85 0 0
Gerard_ROCHE 0 0 1 243.79
Germain_ANDRIEUX 10 559.45 0 0
Gersande_DIART 0 0 18 674.19
Gilane_BARRET 1 376.95 0 0
Gilbert_COLLARD 0 0 8 716.76
Gilbert_MONTAGNE 0 0 7 545.1
Gilles-Eric_SERALINI 0 0 6 91.11
Gilles_CARREZ 2 248.86 0 0
Gilles_DE_ROBIEN 0 0 8 709.65
Gilles_KEPEL 0 0 6 3508.19
Glenn_CLOSE 0 0 4 171.5
Graziella_RODRIGUES 0 0 19 671.23
Gregoire_PELPEL 1 35.45 16 650.81
Gregoire_SAUVAGE 0 0 18 685.24
Guillaume_PAUL 0 0 3 423.98
Guillaume_ROQUETTE 2 546.44 0 0
Guy_DELCOURT 2 329.79 0 0
Harlem_DESIR 1 137.11 8 590.36
Harold_HYMAN 0 0 19 684.58
Hassan_NASRALLAH 0 0 10 297.94
Heather_HEADLEY 1 32.58 6 468.1
Helene_MANGIARDI 2 123.6 0 0
Henri_EMMANUELLI 2 722.04 0 0
Henri_GUAINO 0 0 7 3169.17
Henri_STERDYNIAK 1 144.15 4 548.1
Henri_VACQUIN 1 370.18 0 0
Henri_WEBER 1 557.15 2 141.25
Herve_GATTEGNO 1 320.34 0 0
Herve_GAYMARD 2 733.62 0 0
Herve_MARITON 1 132.96 0 0
Herve_MORIN 0 0 10 666.19
Herve_NOVELLI 4 687.91 0 0
Hillary_CLINTON 0 0 3 499.16
Hugh_JACKMAN 0 0 3 158.04
Hugo_LLORIS 0 0 4 235.53
Hugues_LE_BRET 0 0 5 619.97
Hugues_PORTELLI 0 0 1 535.07
Igor_SAHIRI 0 0 17 670.95
Ingrid_BETANCOURT 0 0 3 681.32
Irene_FRACHON 0 0 9 105.02
Isabelle_ADJANI 0 0 5 553.61
Isabelle_PREVOST-DESPREZ 0 0 3 682.72
Isabelle_SAPORTA 1 410.92 0 0
Ivan_RIOUFOL 1 329.02 0 0
Jack_LANG 0 0 11 699.27
Jacques_ATTALI 0 0 11 719.37
Jacques_BOMPARD 2 349.45 0 0
Jacques_CHEMINADE 0 0 9 660.8
Jacques_CHIRAC 0 0 6 698.94
Jacques_FOLLOROU 1 435.04 0 0
Jacques_GENEREUX 1 309.62 0 0
Jacques_PELISSARD 0 0 6 435.77
Jacques_SEGUELA 0 0 10 718.2
Jacques_TOUBON 0 0 10 664.98
Jacques_VERGES 0 0 8 714.42
Jamel_DEBBOUZE 0 0 10 727.06
Jane_BIRKIN 0 0 6 677.35
Javier_BARDEM 0 0 2 85.33
Jean-Baptiste_DAOULAS 7 377.91 0 0
Jean-Baptiste_PREDALI 5 374.45 0 0
Jean-Baptiste_PREVOST 2 491.9 0 0
Jean-Charles_BRISARD 0 0 2 974.18
Jean-Charles_STEYGER 1 278.64 0 0
Jean-Christophe_CAMBADELIS 3 670.86 0 0
Jean-Christophe_FROMANTIN 1 287.46 0 0
Jean-Christophe_LAGARDE 0 0 6 5424.4
Jean-Claude_DELARUE 0 0 3 677.67
Jean-Claude_TRICHET 0 0 7 688.01
Jean-Francois_ACHILLI 0 0 5 301.13
Jean-Francois_AMADIEU 0 0 5 1294.46
Jean-Francois_COPE 4 222.34 6 462.81
Jean-Francois_JULLIARD 0 0 9 715.01
Jean-Francois_KAHN 0 0 8 661.24
Jean-Francois_LAMOUR 0 0 11 717.82
Jean-Francois_MATTEI 0 0 5 656.53
Jean-Francois_PERES 1 154.34 0 0
Jean-Francois_ROUBAUD 1 190.76 6 510.27
Jean-Jacques_AILLAGON 0 0 9 729.39
Jean-Jacques_BOURDIN 1 309.41 2 327.21
Jean-Jacques_CHABAN-DELMAS 0 0 4 661.1
Jean-Jacques_JEGOU 0 0 6 674.38
Jean-Jacques_URVOAS 4 665.58 0 0
Jean-Louis_BORLOO 1 185.46 7 492.33
Jean-Louis_BOURLANGES 0 0 1 247.58
Jean-Louis_DEBRE 0 0 10 661.93
Jean-Louis_GOMBEAUD 1 280.44 0 0
Jean-Louis_MALISSE 1 319.07 0 0
Jean-Louis_NORMANDIN 1 390.67 0 0
Jean-Louis_SCHILANSKY 1 96.23 6 592.21
Jean-Luc_DELARUE 0 0 6 716.56
Jean-Luc_MELENCHON 1 39.83 5 654.31
Jean-Luc_ROMERO 1 205.51 0 0
Jean-Marc_AYRAULT 10 695.93 0 0
Jean-Marc_FEDIDA 0 0 5 556.64
Jean-Marc_LECH 1 191.98 0 0
Jean-Marc_ROUBAUD 0 0 6 624.57
Jean-Marie_BOCKEL 0 0 10 674.85
Jean-Marie_CAVADA 0 0 7 716.62
Jean-Marie_LE_GUEN 2 702.49 0 0
Jean-Marie_LE_PEN 0 0 7 693
Jean-Marie_VANLERENBERGHE 0 0 10 673.66
Jean-Michel_AULAS 0 0 3 1192.88
Jean-Michel_BAYLET 0 0 7 1280.09
Jean-Michel_CADIOT 1 397.34 0 0
Jean-Michel_COHEN 1 136.7 0 0
Jean-Michel_FOURGOUS 1 213.58 7 470.23
Jean-Michel_SIX 1 243.26 0 0
Jean-Noel_GUERINI 0 0 5 666.67
Jean-Paul_BELMONDO 0 0 4 608.15
Jean-Paul_BRUNEAU 1 265.36 0 0
Jean-Paul_OLLIVIER 0 0 1 153.96
Jean-Paul_VIRAPOULLE 0 0 1 205.47
Jean-Philippe_MORIN 0 0 3 258.73
Jean-Pierre_BRARD 1 122.92 0 0
Jean-Pierre_CHEVENEMENT 0 0 10 709.3
Jean-Pierre_DARROUSSIN 0 0 3 731.15
Jean-Pierre_ELKABBACH 0 0 6 1103.48
Jean-Pierre_GRATIEN 9 667.02 0 0
Jean-Pierre_MARIELLE 0 0 7 717.81
Jean-Pierre_PERNAUT 0 0 2 667.6
Jean-Pierre_RAFFARIN 0 0 11 688.51
Jean-Pierre_SOISSON 0 0 3 579.09
Jean-Pierre_SUEUR 0 0 7 99
Jean-Remi_BAUDOT 8 732.26 0 0
Jean-Vincent_PLACE 0 0 4 1686.12
Jean-Yves_CAMUS 1 131.59 0 0
Jean-Yves_LE_BOUILLONNEC 1 192.26 0 0
Jean_ARTHUIS 0 0 10 677.17
Jean_BOUQUIN 1 229.05 0 0
Jean_DE_TONQUEDEC 1 323.35 0 0
Jean_DUJARDIN 0 0 3 291.54
Jean_GLAVANY 2 410.2 4 288.14
Jean_JOUZEL 1 233.88 7 478.64
Jean_LEONETTI 0 0 6 4594.74
Jean_MALLOT 2 158.16 8 546.2
Jean_QUATREMER 0 0 7 671.9
Jean_RESSEGUIE 4 481.66 0 0
Jean_TIBERI 0 0 1 344.57
Jean_TODT 1 168.6 0 0
Jean_Wilfrid_FORGUES 0 0 16 681.17
Jeannette_BOUGRAB 1 407.26 4 293.03
Jeremie_HARTMANN 3 171.19 0 0
Jeremy_TROTTIN 0 0 16 671.39
Jerome_CAHUZAC 3 217.57 0 0
Jerome_CHARTIER 1 71.5 6 611.64
Jerome_GARCIN 2 724.99 0 0
Jerome_GUEDJ 0 0 5 1740.58
Jerome_KERVIEL 0 0 5 1312.07
Jerome_SAVARY 0 0 5 883.79
Jo-Wilfried_TSONGA 0 0 4 450.74
Joann_SFAR 0 0 1 686.92
Joe_BIDEN 0 0 2 107.92
Johanne_PORTAL 0 0 18 662.17
Johnny_HALLYDAY 0 0 9 159.69
Jonathan_HAYOUN 1 295.01 0 0
Jose_BOVE 1 40.46 8 653.68
Joseph_OSMAN 1 372.21 1 347
Julia_DELAGE 2 124.96 0 0
Julia_LE_CORREC 6 369.32 0 0
Julie_ALBET 0 0 7 406.64
Julien_CLERC 0 0 5 660.83
Julien_JACQUET 0 0 12 484.93
Julien_MIGAUD_MULLER 0 0 16 663.31
Juliette_GRECO 0 0 4 672.02
Kad_MERAD 1 59.04 7 652.1
Kamal_ABDOURAHIM 0 0 18 692.6
Karim_BENNANI 0 0 10 437.68
Karim_BENZEMA 0 0 5 89.84
Karine_BERGER 1 517.18 0 0
Karl_LAGERFELD 0 0 5 616.39
Kathia_GILDER 7 470.8 1 70.12
Kelly_LAFFIN 0 0 17 660.57
Ken_LOACH 0 0 3 295.62
Ksenia_BOLCHAKOVA 0 0 9 660.12
Laetitia_SOUDY 1 38.52 16 647.29
Laura_FLESSEL 0 0 6 681.86
Laure_BOUILLAGUET 0 0 6 358.02
Laure_MANAUDOU 0 0 2 198.95
Laurence_FERRARI 0 0 6 700.54
Laurence_PARISOT 0 0 10 663.85
Laurent-El-Ghozi 1 337.52 1 325
Laurent_BLANC 0 0 9 718.66
Laurent_FABIUS 1 67.68 9 601.75
Laurent_GERRA 0 0 5 686.34
Laurent_JOFFRIN 0 0 3 608.49
Laurent_NEUMANN 9 727.7 0 0
Laurent_RUQUIER 0 0 10 664.66
Laurent_VOULZY 0 0 3 508.74
Laurent_WAUQUIEZ 2 372.52 5 346.3
Lionel_JOSPIN 1 65.95 8 597.15
Lionnel_LUCA 5 691.06 0 0
Loic_BRILEY 0 0 3 172.78
Louis_NICOLLIN 0 0 8 689.78
Louise_EKLAND 2 72.58 3 457.6
Luc_BESSON 1 247.73 3 467.4
Luc_CHATEL 3 245.88 7 465.18
Luc_FERRY 0 0 9 679.31
Lucie_NUTTIN 5 667.02 0 0
Lucy_VINCENT 1 337.7 0 0
Luis_FERNANDEZ 0 0 4 190.08
Magali_CHALAIS 3 172.63 0 0
Maitena_BIRABEN 0 0 4 496.05
Malek_BOUTIH 0 0 1 341.45
Manuel_VALLS 2 188.64 7 508.74
Marc-Philippe_DAUBRESSE 0 0 12 6602.72
Marc_LE_FUR 0 0 4 264.75
Marcel_RUFO 0 0 4 1233.76
Marek_HALTER 0 0 7 2793.66
Margaux_DE_FROUVILLE 0 0 18 664.7
Maria_INES 1 261.23 0 0
Mariam_PIRZADEH 0 0 17 663.46
Marie-Charlotte_ANTONINI 0 0 5 330.91
Marie-Eve_MALOUINES 0 0 9 1241.29
Marie-George_BUFFET 2 371.09 5 332.96
Marie-Noelle_LIENEMANN 0 0 10 668.96
Marie_CASADEBAIG 0 0 4 246.24
Marie_DUQUESNE 2 156.56 0 0
Marie_LABAT 0 0 19 674.2
Mariette_SINEAU 0 0 1 293.06
Marine_HAY 0 0 11 477.56
Marine_LE_PEN 4 404.02 4 287.27
Mario_DRAGHI 0 0 6 424.69
Marion_COTILLARD 0 0 3 253.82
Marion_LEFEBVRE 5 292.45 0 0
Marion_MARECHAL-LE_PEN 0 0 3 431.37
Marisol_TOURAINE 3 672.54 0 0
Martin_FREEMAN 0 0 5 92.27
Martin_HIRSCH 0 0 6 684.66
Martine_AUBRY 0 0 8 685.21
Marwane_BEN_YAHMED 1 194.02 0 0
Marylise_LEBRANCHU 0 0 10 708.54
Mathieu_COACHE 6 715.99 0 0
Mathieu_GUIDERE 0 0 6 1933.76
Mathilde_TERRIER 3 153.37 0 0
Matthieu_CHEDID 0 0 2 579.83
Maurice_SZAFRAN 0 0 8 710.33
Maxime_COGNY 0 0 18 665.69
Maxime_VERNER 1 177.93 0 0
Melanie_BERTRAND 0 0 16 663.2
Melanie_LAURENT 0 0 3 666.35
Melanie_VECCHIO 0 0 16 695.93
