;; locuteur dureedapprentissageGlobal nbdesessionsdapprentissageGlobal dureedapprentissageRepere nbdesessionsdapprentissageRepere dureedapprentissageAutre nbdesessionsdapprentissageAutre
Stephane_LE_FOLL 673.58 10 0 0 673.58 10
Francois_LENGLET 717.71 7 368.86 2 348.85 5
Elisa_BERTHOLOMEY 693.26 18 0 0 693.26 18
Fanny_REGNAULT 678.53 18 0 0 678.53 18
Francoise_DE_PANAFIEU 675.6 6 0 0 675.6 6
Luc_FERRY 679.31 9 0 0 679.31 9
Jack_LANG 699.27 11 0 0 699.27 11
Philippe_DUFREIGNE 673.37 10 673.37 10 0 0
Maxime_VERNER 177.93 1 177.93 1 0 0
Joseph_OSMAN 719.21 2 372.21 1 347 1
Brigitte_BOUCHER 668.8 9 668.8 9 0 0
Marion_LEFEBVRE 292.45 5 292.45 5 0 0
Razzy_HAMMADI 277.8 1 277.8 1 0 0
Michel_SAPIN 710.67 7 710.67 7 0 0
Delphine_BATHO 718.81 4 718.81 4 0 0
Tiffanie_OSSWALT 680.24 18 32.95 1 647.29 17
Eric_NEUHOFF 729.41 4 482.48 1 246.93 3
Johanne_PORTAL 662.17 18 0 0 662.17 18
Ali_BADDOU 701.63 11 0 0 701.63 11
Jean-Jacques_AILLAGON 729.39 9 0 0 729.39 9
Eric_WOERTH 761.46 4 761.46 4 0 0
Michele_ALLIOT-MARIE 681.19 10 0 0 681.19 10
Jean-Baptiste_PREVOST 491.9 2 491.9 2 0 0
Melanie_VECCHIO 695.93 16 0 0 695.93 16
Christian_JACOB 725.43 6 725.43 6 0 0
Wilfried_TEMPLIER 664.62 12 0 0 664.62 12
Cecile_DANRE 163 3 163 3 0 0
Bernard_HOUDIN 709.84 8 188.1 1 521.74 7
Daniel_FIDELIN 395.65 3 0 0 395.65 3
Eric_ZEMMOUR 721.14 5 0 0 721.14 5
Denis_JEAMBAR 681.2 6 0 0 681.2 6
Didier_PIARD 287.16 1 287.16 1 0 0
Jean_QUATREMER 671.9 7 0 0 671.9 7
Emmanuel_SCHWARTZENBERG 188.47 1 188.47 1 0 0
Jeannette_BOUGRAB 700.29 5 407.26 1 293.03 4
Frederic_SIMOTTEL 672.31 5 0 0 672.31 5
Julien_JACQUET 484.93 12 0 0 484.93 12
Alain_MARSCHALL 661.8 9 661.8 9 0 0
Axel_PONIATOWSKI 674.13 10 0 0 674.13 10
Alexis_PALISSON 562.7 7 0 0 562.7 7
Diane_GOUFFRANT 693.8 7 693.8 7 0 0
Pierre_CHAPPARD 267.73 1 267.73 1 0 0
Brice_LALONDE 396.6 1 0 0 396.6 1
Amgad_SADEK 306.79 1 306.79 1 0 0
Jean-Jacques_BOURDIN 636.62 3 309.41 1 327.21 2
Arnaud_LAGARDERE 407.37 1 0 0 407.37 1
Julia_LE_CORREC 369.32 6 369.32 6 0 0
Jean-Yves_CAMUS 131.59 1 131.59 1 0 0
Valerie_BERANGER 145.5 3 145.5 3 0 0
Ahmed_TAZIR 160.72 4 160.72 4 0 0
Marie-George_BUFFET 704.05 7 371.09 2 332.96 5
Robert_BOURGI 699.53 9 43.64 1 655.89 8
Jean-Marie_BOCKEL 674.85 10 0 0 674.85 10
Arlette_LAGUILLER 687.18 8 0 0 687.18 8
Frederic_ADAM 685.27 8 467.29 7 217.98 1
Jean-Louis_GOMBEAUD 280.44 1 280.44 1 0 0
Jacques_SEGUELA 718.2 10 0 0 718.2 10
Dominique_MARANINCHI 534.76 1 0 0 534.76 1
Graziella_RODRIGUES 671.23 19 0 0 671.23 19
Marine_HAY 477.56 11 0 0 477.56 11
Hugues_LE_BRET 619.97 5 0 0 619.97 5
Michel_VAUZELLE 708.23 7 97.24 2 610.99 5
Aurelien_ROMANO 541.67 9 0 0 541.67 9
Jean-Francois_ACHILLI 301.13 5 0 0 301.13 5
Stephane_GUILLON 670.39 8 0 0 670.39 8
Christophe_CARESCHE 670.09 9 164.9 2 505.19 7
Caroline_DE_HAAS 688.48 4 0 0 688.48 4
Rodolphe_MASSE 260.13 4 0 0 260.13 4
Christian_PAUL 717.17 2 465.24 1 251.93 1
Virginie_PHULPIN 234.29 2 234.29 2 0 0
Germain_ANDRIEUX 559.45 10 559.45 10 0 0
Boutros_BOUTROS-GHALI 710.92 4 0 0 710.92 4
Yves_JEGO 698.31 2 698.31 2 0 0
Bertrand_MENGUY 308.86 1 308.86 1 0 0
Olivier_MAZEROLLE 735.74 4 735.74 4 0 0
Corinne_LEPAGE 730.55 8 197.41 1 533.14 7
Jean_MALLOT 704.36 10 158.16 2 546.2 8
Thierry_ARNAUD 520.21 5 377.95 4 142.26 1
Nicolas_JAMAIN 661.7 17 74.42 1 587.28 16
Emmanuel_LECHYPRE 683.92 17 0 0 683.92 17
Nicolas_PERRUCHOT 725.12 6 322.6 2 402.52 4
Olivier_METZNER 273.8 1 273.8 1 0 0
Robert_HUE 703.82 7 0 0 703.82 7
Pascal_PERRINEAU 689.63 6 327.06 1 362.57 5
Dominique_BLANC 513.35 2 0 0 513.35 2
Michele_COTTA 684.81 7 0 0 684.81 7
Anne-Marie_IDRAC 723.17 3 0 0 723.17 3
Annick_LEPETIT 236.59 3 100.05 1 136.54 2
Daniele_HEYMANN 553.23 1 553.23 1 0 0
Christophe_DELAY 571.32 32 571.32 32 0 0
Alain_WEILL 708.21 6 238.57 1 469.64 5
Catherine_VAUTRIN 640.2 2 640.2 2 0 0
Nicole_AMELINE 719.1 8 64.05 1 655.05 7
Herve_GATTEGNO 320.34 1 320.34 1 0 0
Olivier_MOIZAN 665.81 12 0 0 665.81 12
Jean-Marie_LE_GUEN 702.49 2 702.49 2 0 0
Jean-Francois_MATTEI 656.53 5 0 0 656.53 5
Marisol_TOURAINE 672.54 3 672.54 3 0 0
Pascal_SCHMITT 201.06 1 201.06 1 0 0
Jeremie_HARTMANN 171.19 3 171.19 3 0 0
Yves_DURAND 450.44 4 113.05 1 337.39 3
Alain_COTTA 711.32 6 376.93 1 334.39 5
Valerie_ROSSO-DEBORD 676.52 5 159.4 2 517.12 3
Olivier_FERRAND 685.03 3 618.9 2 66.13 1
Jean-Francois_KAHN 661.24 8 0 0 661.24 8
Anita_HAUSSER 373.18 4 373.18 4 0 0
Carla_BRUNI-SARKOZY 674.96 7 0 0 674.96 7
Martine_AUBRY 685.21 8 0 0 685.21 8
Frederic_NIHOUS 683.66 5 0 0 683.66 5
Raymond_DOMENECH 640.45 5 0 0 640.45 5
Dominique_PLIHON 733.07 9 0 0 733.07 9
Arnaud_VIVIANT 564.77 1 564.77 1 0 0
Frederic_BEIGBEDER 671.78 10 0 0 671.78 10
Michel_ISSINDOU 557.78 4 0 0 557.78 4
Francois_BROTTES 275.99 3 275.99 3 0 0
Jean-Claude_TRICHET 688.01 7 0 0 688.01 7
Michel_CREPU 453.87 1 453.87 1 0 0
Emilie_HELMSTEIN 663.3 10 0 0 663.3 10
Philippe_JUVIN 132.14 1 132.14 1 0 0
Alain_SUGUENOT 315.86 2 0 0 315.86 2
Lucy_VINCENT 337.7 1 337.7 1 0 0
Jean-Louis_NORMANDIN 390.67 1 390.67 1 0 0
Alain_GEST 390.97 2 0 0 390.97 2
Betty_LACHGUER 663.29 16 0 0 663.29 16
Melanie_LAURENT 666.35 3 0 0 666.35 3
Claude_FAUQUET 176.84 1 0 0 176.84 1
Jean-Pierre_GRATIEN 667.02 9 667.02 9 0 0
Cecile_BOURGNEUF 194.84 4 0 0 194.84 4
Alexis_BREZET 679.84 9 679.84 9 0 0
Natacha_RIOS 682.94 18 0 0 682.94 18
Pierre_MEHAIGNERIE 702.32 5 0 0 702.32 5
Ivan_RIOUFOL 329.02 1 329.02 1 0 0
Christiane_LAMBERT 136.92 1 136.92 1 0 0
Laurent-El-Ghozi 662.52 2 337.52 1 325 1
Jean_RESSEGUIE 481.66 4 481.66 4 0 0
Marion_MARECHAL-LE_PEN 431.37 3 0 0 431.37 3
Brice_HORTEFEUX 689.14 2 0 0 689.14 2
Clement_MERIC 245.97 1 0 0 245.97 1
Antoine_GLASER 288.41 1 288.41 1 0 0
Armelle_SEMONT 252.93 5 0 0 252.93 5
Nicolas_SARKOZY 683.07 8 265.35 5 417.72 3
Diane_DESOBEAU 665.83 8 0 0 665.83 8
Dominique_STRAUSS-KAHN 688.46 3 0 0 688.46 3
Emilie_TORGEMEN 269.04 3 0 0 269.04 3
Thomas_THEVENOUD 359.58 4 0 0 359.58 4
Bernard_BIGOT 244.74 1 244.74 1 0 0
Randa_KASSIS 221.57 1 221.57 1 0 0
Caroline_MIER 691.41 17 39.33 1 652.08 16
Caroline_BOISSON 291.14 4 0 0 291.14 4
David_DOUILLET 594.92 1 0 0 594.92 1
Christophe_WILLEM 716.31 3 0 0 716.31 3
Harold_HYMAN 684.58 19 0 0 684.58 19
Aymeric_BARRAULT 125.55 2 125.55 2 0 0
Benjamin_BIOLAY 716.87 6 0 0 716.87 6
Francois_DE_RUGY 480.31 4 480.31 4 0 0
Sandra_LARUE 662.73 7 0 0 662.73 7
Florence_FRESNEL 190.73 1 190.73 1 0 0
Patrick_PELLOUX 488.58 1 0 0 488.58 1
Francois_FILLON 677.31 10 677.31 10 0 0
Jacques_GENEREUX 309.62 1 309.62 1 0 0
Julie_ALBET 406.64 7 0 0 406.64 7
Philippe_HOUILLON 663.28 6 153.24 1 510.04 5
Maurice_SZAFRAN 710.33 8 0 0 710.33 8
Jane_BIRKIN 677.35 6 0 0 677.35 6
Julien_CLERC 660.83 5 0 0 660.83 5
Alain_SOUCHON 682.41 7 0 0 682.41 7
Charlotte_GAINSBOURG 292.32 2 0 0 292.32 2
Remi_PERROT 431.34 11 0 0 431.34 11
Benoit_HAMON 698.47 5 628.14 4 70.33 1
Malek_BOUTIH 341.45 1 0 0 341.45 1
Pascale_DE_LA_TOUR_DU_PIN 410.38 24 410.38 24 0 0
Lionel_JOSPIN 663.1 9 65.95 1 597.15 8
Laetitia_SOUDY 685.81 17 38.52 1 647.29 16
Pierrick_TAISNE 213.47 6 0 0 213.47 6
Stephane_ROZES 686.21 2 0 0 686.21 2
Stephane_GATIGNON 437.46 3 0 0 437.46 3
Denis_DEMONPION 498.4 4 432.29 3 66.11 1
Francois_PITREL 224.15 3 0 0 224.15 3
Veronique_JACQUIER 465.09 3 0 0 465.09 3
Patrick_LE_LAY 660.77 2 0 0 660.77 2
Philippe_POUTOU 666.79 10 0 0 666.79 10
Alexandre_DE_JUNIAC 523.78 2 0 0 523.78 2
Jean_DE_TONQUEDEC 323.35 1 323.35 1 0 0
Jean_BOUQUIN 229.05 1 229.05 1 0 0
Rama_YADE 683.46 10 0 0 683.46 10
Mathilde_TERRIER 153.37 3 153.37 3 0 0
Jean-Paul_VIRAPOULLE 205.47 1 0 0 205.47 1
Kamal_ABDOURAHIM 692.6 18 0 0 692.6 18
Marie_LABAT 674.2 19 0 0 674.2 19
Chloe_BUFFARD 526.95 9 457.58 8 69.37 1
Ani_BASAR 688.06 18 0 0 688.06 18
Bruno_GOLLNISCH 662.41 10 0 0 662.41 10
Azouz_BEGAG 665.17 2 0 0 665.17 2
Myriam_ENCAOUA 397.32 3 397.32 3 0 0
Jerome_CHARTIER 683.14 7 71.5 1 611.64 6
Elise_MAILLARD 676.21 3 0 0 676.21 3
Valerie_BROCHARD 172.77 3 172.77 3 0 0
Jeremy_TROTTIN 671.39 16 0 0 671.39 16
Jean-Michel_CADIOT 397.34 1 397.34 1 0 0
Audrey-Sophie_NACASS 172.83 1 172.83 1 0 0
Jean-Claude_DELARUE 677.67 3 0 0 677.67 3
Aurelie_MARCIREAU 683.54 15 0 0 683.54 15
Nicolas_BOUZOU 266.43 1 266.43 1 0 0
Jean-Louis_MALISSE 319.07 1 319.07 1 0 0
Nicolas_DEMORAND 719.34 11 0 0 719.34 11
Christine_KELLY 677.2 9 0 0 677.2 9
Perrine_BAGLAN 175.17 4 0 0 175.17 4
Gersande_DIART 674.19 18 0 0 674.19 18
Didier_GUILLAUME 695.6 1 0 0 695.6 1
Isabelle_ADJANI 553.61 5 0 0 553.61 5
Serge_DASSAULT 718.92 6 0 0 718.92 6
Nicolas_DUPONT-AIGNAN 681.93 7 387.38 2 294.55 5
Luc_BESSON 715.13 4 247.73 1 467.4 3
Yvan_LACHAUD 689.2 10 261.43 3 427.77 7
Damien_FLEUROT 325.99 5 325.99 5 0 0
Gaetane_MESLIN 323.22 5 323.22 5 0 0
Jean-Marie_VANLERENBERGHE 673.66 10 0 0 673.66 10
Tristan_BERTELOOT 694.44 4 0 0 694.44 4
Jean-Pierre_MARIELLE 717.81 7 0 0 717.81 7
Camille_LAURENS 690.57 1 0 0 690.57 1
Yann_WEHRLING 350.92 1 350.92 1 0 0
Karine_BERGER 517.18 1 517.18 1 0 0
Apolline_DE_MALHERBE 303.95 5 205.62 4 98.33 1
Jean-Jacques_CHABAN-DELMAS 661.1 4 0 0 661.1 4
Sebastien_COUASNON 458.51 4 0 0 458.51 4
Jean-Baptiste_PREDALI 374.45 5 374.45 5 0 0
Fleur_PELLERIN 666.63 9 0 0 666.63 9
Pierre_LEAUTEY 495.78 2 0 0 495.78 2
Florent_GERMAIN 120.07 1 120.07 1 0 0
Alain_JOYANDET 703.71 3 552.72 1 150.99 2
Serge_TISSERON 721.87 7 0 0 721.87 7
Rene_DOSIERE 164.55 1 164.55 1 0 0
Lucie_NUTTIN 667.02 5 667.02 5 0 0
Daniel_COHN-BENDIT 711.05 5 0 0 711.05 5
Yoann_GOURCUFF 690.29 6 0 0 690.29 6
Alain-Gerard_SLAMA 425.24 6 0 0 425.24 6
Aurore_TEBOUL 213.19 3 0 0 213.19 3
Alain_CHABAT 676.86 8 0 0 676.86 8
Christian_VANNESTE 343.09 3 0 0 343.09 3
Yves_FROMION 450.82 1 450.82 1 0 0
Helene_MANGIARDI 123.6 2 123.6 2 0 0
Arnaud_ARDOIN 690.56 7 690.56 7 0 0
Jean-Francois_ROUBAUD 701.03 7 190.76 1 510.27 6
Benoit_FARACO 324.46 3 0 0 324.46 3
Damien_GOURLET 366.69 1 366.69 1 0 0
Laure_BOUILLAGUET 358.02 6 0 0 358.02 6
Francois_HOLLANDE 692.33 13 365.71 8 326.62 5
Didier_DESCHAMPS 611.51 7 0 0 611.51 7
Gerard_ROCHE 243.79 1 0 0 243.79 1
Roland_COUTANCEAU 186.13 1 186.13 1 0 0
Natacha_POLONY 676.18 4 0 0 676.18 4
Yannick_DANIO 198.19 1 198.19 1 0 0
Herve_MARITON 132.96 1 132.96 1 0 0
Jean-Michel_SIX 243.26 1 243.26 1 0 0
Yves_COUANT 680.52 18 0 0 680.52 18
Magali_CHALAIS 172.63 3 172.63 3 0 0
Yves_MARIGNAC 258.16 1 258.16 1 0 0
Samuel_OLLIVIER 521.93 8 0 0 521.93 8
Philippe_SALVADOR 269.95 4 269.95 4 0 0
Gerard_ASCHIERI 710.2 8 0 0 710.2 8
Thomas_LEQUERTIER 710.92 5 710.92 5 0 0
Jean-Paul_BELMONDO 608.15 4 0 0 608.15 4
Nicolas_DOZE 684 19 0 0 684 19
Roselyne_BACHELOT 679.17 7 540.24 5 138.93 2
Antoine_DELPIERRE 687.97 17 0 0 687.97 17
Nadine_MORANO 672.93 6 116.91 1 556.02 5
Philippe_MOREAU-DEFARGES 242.91 2 0 0 242.91 2
Catherine_PROCACCIA 665.05 4 0 0 665.05 4
Patrick_DEVEDJIAN 713.96 9 0 0 713.96 9
Laurent_WAUQUIEZ 718.82 7 372.52 2 346.3 5
Patrick_BRUEL 284.84 2 0 0 284.84 2
Francois_MITTERRAND 668.6 3 0 0 668.6 3
Antoine_POLLEZ 672.7 17 0 0 672.7 17
Laurent_JOFFRIN 608.49 3 0 0 608.49 3
Frederic_MITTERRAND 695.29 10 83.25 1 612.04 9
Laurence_FERRARI 700.54 6 0 0 700.54 6
Cecile_TRAN-TIEN 667.31 17 0 0 667.31 17
Francois_CHEREQUE 693.78 10 0 0 693.78 10
Marie-Noelle_LIENEMANN 668.96 10 0 0 668.96 10
Bruce_TOUSSAINT 718.99 6 0 0 718.99 6
Jacques_CHIRAC 698.94 6 0 0 698.94 6
Albert_DE_MONACO 715.98 4 0 0 715.98 4
Farida_SETITI 457.99 11 31.12 1 426.87 10
Anicet_MBIDA 242.17 1 242.17 1 0 0
Henri_WEBER 698.4 3 557.15 1 141.25 2
Paul-Marie_COUTEAUX 156.67 1 0 0 156.67 1
Andre_SANTINI 697 10 0 0 697 10
Jean_Wilfrid_FORGUES 681.17 16 0 0 681.17 16
Nicole_NOTAT 670.89 8 0 0 670.89 8
Philippe_SEGUIN 729.3 2 0 0 729.3 2
Xavier_BERTRAND 730.33 10 654.81 9 75.52 1
Patrick_BALKANY 680.42 6 0 0 680.42 6
Maitena_BIRABEN 496.05 4 0 0 496.05 4
Alassane_OUATTARA 692.68 11 0 0 692.68 11
Caroline_FOUREST 469.99 1 469.99 1 0 0
Perico_LEGASSE 705.39 4 0 0 705.39 4
Rachida_DATI 729.41 10 0 0 729.41 10
Francois_PUPPONI 672.39 6 319.12 1 353.27 5
Bernard_DEBRE 676.63 5 375.85 1 300.78 4
Pierre_LANG 213.72 1 0 0 213.72 1
Arlette_CHABOT 710.44 7 0 0 710.44 7
Dominique_PAILLE 689.69 2 689.69 2 0 0
Fabien_LEFORT 344.9 2 344.9 2 0 0
Michel_PIRON 693.11 4 226.11 1 467 3
Philippe_DOUSTE-BLAZY 699.83 10 0 0 699.83 10
Jean_DUJARDIN 291.54 3 0 0 291.54 3
Jean-Marc_ROUBAUD 624.57 6 0 0 624.57 6
Pierre-Alain_MUET 701.78 10 168.48 2 533.3 8
Dominique_BUSSEREAU 725.08 2 725.08 2 0 0
Patrick_DEVILLE 706.94 1 0 0 706.94 1
Edouard_BAER 446.09 4 0 0 446.09 4
Nicolas_HULOT 662.36 7 0 0 662.36 7
Jacques_CHEMINADE 660.8 9 0 0 660.8 9
Jacques_ATTALI 719.37 11 0 0 719.37 11
Patrice_GOURRIER 160.81 1 160.81 1 0 0
Hugues_PORTELLI 535.07 1 0 0 535.07 1
Benoist_APPARU 711.13 7 129.41 2 581.72 5
Antoine_DE_CAUNES 680.56 4 0 0 680.56 4
Claire_QUIDET 302.87 1 302.87 1 0 0
Eric_CIOTTI 682.14 8 682.14 8 0 0
Yamina_BENGUIGUI 685.95 10 0 0 685.95 10
Christine_LAGARDE 706.63 10 235.87 3 470.76 7
Bernard-Henri_LEVY 721.69 7 295.34 1 426.35 6
Sylvain_COURAGE 710.83 4 172.23 1 538.6 3
Eric_TOLEDANO 366.91 2 0 0 366.91 2
Francois_BAYROU 691.57 10 59.72 1 631.85 9
Bertrand_DELANOE 696.83 4 0 0 696.83 4
Bernard_CAZENEUVE 720.47 3 644.94 2 75.53 1
Eric_RAOULT 685.81 5 410.71 1 275.1 4
Julia_DELAGE 124.96 2 124.96 2 0 0
Yohann_RELAT 439 7 439 7 0 0
Alain_MINC 686.55 10 0 0 686.55 10
Bruno_SOLO 488.19 6 0 0 488.19 6
Bernard_MARIS 694.54 1 0 0 694.54 1
Xavier_DARCOS 666.36 6 0 0 666.36 6
Patrick_HERMANSEN 686 18 0 0 686 18
Robert_ROCHEFORT 222.2 1 222.2 1 0 0
Mathieu_COACHE 715.99 6 715.99 6 0 0
Laurent_BLANC 718.66 9 0 0 718.66 9
Mariette_SINEAU 293.06 1 0 0 293.06 1
Segolene_ROYAL 709.28 11 36.56 1 672.72 10
Roland_MUZEAU 676.55 2 676.55 2 0 0
Georges_TRON 673.21 8 115.75 1 557.46 7
Fanny_AGOSTINI 689.98 19 0 0 689.98 19
Carol_ISOUX 417.74 6 0 0 417.74 6
Lionnel_LUCA 691.06 5 691.06 5 0 0
Jerome_CAHUZAC 217.57 3 217.57 3 0 0
David_PUJADAS 683.54 5 0 0 683.54 5
Veronique_FEVRE 670.22 15 112.23 3 557.99 12
Jean-Francois_JULLIARD 715.01 9 0 0 715.01 9
Cecilia_ATTIAS 244.58 1 0 0 244.58 1
Manuel_VALLS 697.38 9 188.64 2 508.74 7
Sandrine_MAZETIER 243.68 1 243.68 1 0 0
Francois_CLUZET 664.49 8 0 0 664.49 8
Ronald_GUINTRANGE 190.91 3 0 0 190.91 3
Rolland_COURBIS 690.05 11 148.15 1 541.9 10
Florence_AUBENAS 690.73 10 0 0 690.73 10
Bernard_KOUCHNER 662.4 7 37.8 1 624.6 6
Jean_GLAVANY 698.34 6 410.2 2 288.14 4
Michel_BARNIER 734.16 7 0 0 734.16 7
Alex_BEAUPAIN 673.73 3 0 0 673.73 3
Caroline_BRUNEAU 527.73 6 0 0 527.73 6
Vincent_GIRALDO 350.89 8 0 0 350.89 8
Jean_TODT 168.6 1 168.6 1 0 0
Alain_MARECAUX 528.65 2 0 0 528.65 2
Claude_BARRIER 197.74 1 197.74 1 0 0
Michel-Edouard_LECLERC 675.47 7 0 0 675.47 7
Vincent_PEILLON 660.52 10 0 0 660.52 10
Olivier_PASTRE 298.78 1 298.78 1 0 0
Jacques_BOMPARD 349.45 2 349.45 2 0 0
Jean-Philippe_MORIN 258.73 3 0 0 258.73 3
Florence_MURACCIOLE 706.44 8 706.44 8 0 0
Robert_GUEDIGUIAN 686 1 0 0 686 1
Jean-Paul_BRUNEAU 265.36 1 265.36 1 0 0
Dany_BOON 693.99 8 0 0 693.99 8
Pierre_SALVIAC 131.59 1 131.59 1 0 0
Marie-Charlotte_ANTONINI 330.91 5 0 0 330.91 5
Claire_ROBICHE 185.81 4 0 0 185.81 4
Jean-Francois_PERES 154.34 1 154.34 1 0 0
Adrien_GINDRE 683.65 15 46.22 1 637.43 14
Jean-Pierre_DARROUSSIN 731.15 3 0 0 731.15 3
Margaux_DE_FROUVILLE 664.7 18 0 0 664.7 18
Patrick_EVENO 245.37 1 245.37 1 0 0
Francois_REBSAMEN 724.1 10 40.97 1 683.13 9
Christophe_RUAULTS 723.04 9 723.04 9 0 0
Aly_EL-SAMMAN 130.99 1 130.99 1 0 0
Jean-Jacques_JEGOU 674.38 6 0 0 674.38 6
Gerard_BAPT 713.67 7 363.21 2 350.46 5
Guillaume_ROQUETTE 546.44 2 546.44 2 0 0
Celine_MISSOFFE 609.99 14 0 0 609.99 14
Adeline_HAZAN 714.56 9 0 0 714.56 9
Jean-Noel_GUERINI 666.67 5 0 0 666.67 5
Bernard_HINAULT 716.67 3 0 0 716.67 3
Jean_JOUZEL 712.52 8 233.88 1 478.64 7
Catherine_LABORDE 718.1 8 0 0 718.1 8
Francois_GIUSEPPI 256.15 1 256.15 1 0 0
Jean-Yves_LE_BOUILLONNEC 192.26 1 192.26 1 0 0
Yann-Antony_NOGHES 405.27 1 0 0 405.27 1
Benjamin_DUBOIS 676.64 16 0 0 676.64 16
Frederic_DE_LANOUVELLE 697.43 2 697.43 2 0 0
Timour_AGGIOURI 667.09 3 0 0 667.09 3
Marie_DUQUESNE 156.56 2 156.56 2 0 0
Patrick_MENNUCCI 174.9 1 174.9 1 0 0
Audrey_TAUTOU 474.01 4 0 0 474.01 4
Laurent_VOULZY 508.74 3 0 0 508.74 3
Benoit_HARTMANN 183.3 1 183.3 1 0 0
Louise_EKLAND 530.18 5 72.58 2 457.6 3
Edouard_BALLADUR 713.17 10 0 0 713.17 10
Cecile_OLLIVIER 216.46 3 216.46 3 0 0
Maria_INES 261.23 1 261.23 1 0 0
Rym_BEN_AMEUR 671.88 16 0 0 671.88 16
Anne_MANSOURET 600.88 3 0 0 600.88 3
Pierre_LEQUILLER 689.82 8 199.98 1 489.84 7
Yves_POZZO_DI_BORGO 714.34 6 187.44 1 526.9 5
Didier_JULIA 419.78 1 0 0 419.78 1
Jerome_GARCIN 724.99 2 724.99 2 0 0
Andre_CHASSAIGNE 673.23 9 120.05 1 553.18 8
Roland_SICARD 697.94 10 0 0 697.94 10
Gregoire_PELPEL 686.26 17 35.45 1 650.81 16
Bernard_THIBAULT 690.87 1 0 0 690.87 1
Serge_GODARD 701.19 5 0 0 701.19 5
Philippe_DE_VILLIERS 692.39 8 0 0 692.39 8
Claude_GUEANT 662.68 8 662.68 8 0 0
Francis_HILLMEYER 720.59 6 122.47 2 598.12 4
Jean-Francois_COPE 685.15 10 222.34 4 462.81 6
Herve_MORIN 666.19 10 0 0 666.19 10
Nicolas_DE_LABAREYRE 669.73 18 0 0 669.73 18
Francois_SAUVADET 682.4 4 682.4 4 0 0
Loic_BRILEY 172.78 3 0 0 172.78 3
Francois_DURPAIRE 336 1 336 1 0 0
Nina_MONTANE 378.15 6 0 0 378.15 6
Christian_PROUTEAU 324.2 1 324.2 1 0 0
Bernard_DEROSIER 640.01 1 640.01 1 0 0
Catherine_GENISSON 716.66 9 102.53 1 614.13 8
Bernard_CAZEAU 296.1 1 0 0 296.1 1
Aurelie_FILIPPETTI 699.61 10 230.71 2 468.9 8
Kathia_GILDER 540.92 8 470.8 7 70.12 1
Christian_ESTROSI 662.89 9 50.42 1 612.47 8
Melissa_COLLADO 683.94 17 0 0 683.94 17
Sophie_AVON 680.07 3 535.1 1 144.97 2
Serge_LETCHIMY 678.52 6 0 0 678.52 6
Edwy_PLENEL 706.09 7 0 0 706.09 7
Bernard_ACCOYER 727.14 9 177.7 4 549.44 5
Geraldine_WOESSNER 525.22 7 0 0 525.22 7
Romain_GUBERT 728.09 9 728.09 9 0 0
Jean-Marie_CAVADA 716.62 7 0 0 716.62 7
William_BOURDON 701.04 1 701.04 1 0 0
Patrick_OLLIER 708.22 9 0 0 708.22 9
Bernard_TAPIE 695.24 10 0 0 695.24 10
Serge_LEPELTIER 718.65 6 0 0 718.65 6
Yves_COCHET 711.58 2 711.58 2 0 0
Amel_SAADI 668.37 18 0 0 668.37 18
Marion_COTILLARD 253.82 3 0 0 253.82 3
Jean-Marc_LECH 191.98 1 191.98 1 0 0
Pierre_BERGE 688.91 9 0 0 688.91 9
